Rank,Species,wtd_rf,rfpc
1,Graylag Goose,0,0.0
2,Egyptian Goose,0,0.0
3,Little Egret/Western Reef-Heron,0,0.0
4,Western Cattle-Egret,0,0.0
5,Gray Heron,0,0.0
6,Pallid Harrier,0,0.0
7,Common Hoopoe,0,0.0
8,Alexandrine Parakeet,0,0.0
9,Rose-ringed Parakeet,0,0.0
10,Isabelline Shrike,0,0.0
11,House Crow,0,0.0
12,Delicate Prinia,0,0.0
13,Red-vented Bulbul,0,0.0
14,White-eared Bulbul,0,0.0
15,Common Chiffchaff,0,0.0
16,Common Myna,0,0.0
17,Purple Sunbird,0,0.0
18,Indian Silverbill,0,0.0
19,House Sparrow,0,0.0
20,Western Reef-Heron,0,0.0
21,Great Cormorant,0,0.0
22,tern sp.,0,0.0
23,Red-wattled Lapwing,0,0.0
24,Muscovy Duck,0,0.0
25,Mallard,0,0.0
26,Gray Francolin,0,0.0
27,Rock Pigeon,0,0.0
28,Eurasian Collared-Dove,0,0.0
29,Laughing Dove,0,0.0
30,Pallid Swift,0,0.0
31,Eurasian Curlew,0,0.0
32,White-cheeked Tern,0,0.0
33,Common Sandpiper,0,0.0
34,Slender-billed Gull,0,0.0
35,Black-headed Gull,0,0.0
36,Pallas's Gull,0,0.0
37,Sooty Gull,0,0.0
38,Lesser Black-backed Gull,0,0.0
39,gull sp.,0,0.0
40,White Wagtail,0,0.0
