Rank,Species,wtd_rf,rfpc
1,House Sparrow,1.0,100.0
2,Eurasian Collared-Dove,1.0,100.0
3,Laughing Dove,1.0,100.0
4,Indian Silverbill,1.0,100.0
5,Rock Pigeon,1.0,100.0
6,Common Myna,1.0,100.0
7,White-eared Bulbul,1.0,100.0
8,Pale Crag-Martin,0.0,0.0
9,Rose-ringed Parakeet,0.0,0.0
10,Isabelline Shrike,0.0,0.0
11,House Crow,0.0,0.0
12,Delicate Prinia,0.0,0.0
13,Red-vented x White-eared Bulbul (hybrid),0.0,0.0
14,Red-vented Bulbul,0.0,0.0
15,Western Marsh Harrier,0.0,0.0
16,Song Thrush,0.0,0.0
17,Pied Wheatear,0.0,0.0
18,Purple Sunbird,0.0,0.0
19,Alexandrine Parakeet,0.0,0.0
20,Egyptian Goose,0.0,0.0
21,Osprey,0.0,0.0
22,Great Egret,0.0,0.0
23,Western Cattle-Egret,0.0,0.0
24,Western Reef-Heron,0.0,0.0
25,Socotra Cormorant,0.0,0.0
26,White-cheeked Tern,0.0,0.0
27,Caspian Tern,0.0,0.0
28,gull sp.,0.0,0.0
29,Lesser Black-backed Gull,0.0,0.0
30,Pallas's Gull,0.0,0.0
31,Black-headed Gull,0.0,0.0
32,Slender-billed Gull,0.0,0.0
33,Common Sandpiper,0.0,0.0
34,Red-wattled Lapwing,0.0,0.0
35,Gray Heron,0.0,0.0
