Rank,Species,wtd_rf,rfpc
1,Common Myna,1.0,100.0
2,White-eared Bulbul,1.0,100.0
3,House Sparrow,1.0,100.0
4,Rock Pigeon,1.0,100.0
5,Eurasian Collared-Dove,1.0,100.0
6,Muscovy Duck,0.6666666666666666,66.66666666666666
7,Rose-ringed Parakeet,0.6666666666666666,66.66666666666666
8,Laughing Dove,0.6666666666666666,66.66666666666666
9,Red-vented Bulbul,0.33383333333333337,33.38333333333334
10,House Crow,0.3333333333333333,33.33333333333333
11,Delicate Prinia,0.3333333333333333,33.33333333333333
12,Eastern Olivaceous Warbler,0.3333333333333333,33.33333333333333
13,Alexandrine Parakeet,0.3333333333333333,33.33333333333333
14,Gray Wagtail,0.3333333333333333,33.33333333333333
15,Mallard,0.001,0.1
16,Eurasian Kestrel,0.0,0.0
17,Lesser Whitethroat,0.0,0.0
18,Spotted Flycatcher,0.0,0.0
19,Rufous-tailed Scrub-Robin,0.0,0.0
20,Pale Crag-Martin,0.0,0.0
21,Marsh Warbler,0.0,0.0
22,Purple Sunbird,0.0,0.0
23,Indian Silverbill,0.0,0.0
24,Isabelline Shrike,0.0,0.0
25,White Wagtail,0.0,0.0
26,Egyptian Goose,0.0,0.0
27,Oriental Honey-buzzard,0.0,0.0
28,Eurasian Wryneck,0.0,0.0
29,Common Sandpiper,0.0,0.0
30,Green-winged Teal,0.0,0.0
31,teal sp.,0.0,0.0
32,dabbling duck sp.,0.0,0.0
33,duck sp.,0.0,0.0
34,Gray Francolin,0.0,0.0
35,Pallid Swift,0.0,0.0
36,swift sp.,0.0,0.0
37,Red-wattled Lapwing,0.0,0.0
38,Green Sandpiper,0.0,0.0
39,Indian Roller,0.0,0.0
40,Slender-billed Gull,0.0,0.0
41,Black-headed Gull,0.0,0.0
42,Lesser Black-backed Gull,0.0,0.0
43,Larus sp.,0.0,0.0
44,Great Cormorant,0.0,0.0
45,Western Reef-Heron,0.0,0.0
46,Western Cattle-Egret,0.0,0.0
47,Great Egret,0.0,0.0
48,wagtail sp.,0.0,0.0
