Rank,Species,wtd_rf,rfpc
1,Gray Francolin,0,0.0
2,Eurasian Golden Oriole,0,0.0
3,House Sparrow,0,0.0
4,Purple Sunbird,0,0.0
5,Desert Wheatear,0,0.0
6,Isabelline Wheatear,0,0.0
7,Common Myna,0,0.0
8,Lesser Whitethroat,0,0.0
9,White-eared Bulbul,0,0.0
10,Red-vented Bulbul,0,0.0
11,Clamorous Reed Warbler,0,0.0
12,Delicate Prinia,0,0.0
13,Crested Lark,0,0.0
14,Rose-ringed Parakeet,0,0.0
15,Eurasian Collared-Dove,0,0.0
16,Glossy Ibis,0,0.0
17,Temminck's Stint,0,0.0
18,Marsh Sandpiper,0,0.0
19,Green Sandpiper,0,0.0
20,Common Snipe,0,0.0
21,Kentish Plover,0,0.0
22,White-tailed Lapwing,0,0.0
23,Red-wattled Lapwing,0,0.0
24,Black-winged Stilt,0,0.0
25,Eurasian Moorhen,0,0.0
26,Laughing Dove,0,0.0
27,Long-billed Pipit,0,0.0
