Rank,Species,wtd_rf,rfpc
1,Black Redstart,0.5833333416666666,100.0
2,Coal Tit,0.5833333208333334,99.9999964285715
3,Western House-Martin,0.49999999583333327,85.71428377551022
4,Eurasian Crag-Martin,0.45833332083333334,78.5714253061225
5,Eurasian Griffon,0.4166666708333333,71.42857112244899
6,Common Chaffinch,0.41666666249999995,71.42856969387758
7,White Wagtail,0.33333334166666667,57.14285775510204
8,Gray Wagtail,0.3333333333333333,57.14285632653062
9,European Robin,0.33333332499999996,57.14285489795922
10,Carrion Crow,0.33333332499999996,57.14285489795922
11,Crested Tit,0.33333332499999996,57.14285489795922
12,Great Tit,0.29185415833333334,50.032140713826564
13,Northern Wheatear,0.29179166666666667,50.02142785683675
14,Eurasian Blackcap,0.29166667083333336,50.000000000000014
15,Common Buzzard,0.2916666666666667,49.9999992857143
16,Eurasian Blackbird,0.29166665833333333,49.999997857142894
17,Eurasian Kestrel,0.250125,42.878570816020414
18,Mistle Thrush,0.2500000083333333,42.85714367346937
19,Water Pipit,0.25,42.85714224489797
20,European Goldfinch,0.24999999583333332,42.85714153061227
21,Rock Bunting,0.2083333416666667,35.71428663265306
22,Common Swift,0.20833333750000002,35.71428591836735
23,Citril Finch,0.20833333333333334,35.71428520408165
24,Great Spotted Woodpecker,0.20833332499999999,35.71428377551023
25,Eurasian Linnet,0.20833332083333334,35.714283061224535
26,Eurasian Wren,0.20833332083333334,35.714283061224535
27,Eurasian Jay,0.16666667500000001,28.571429591836722
28,Red-billed Chough,0.16666667500000001,28.571429591836722
29,Goldcrest,0.16666667500000001,28.571429591836722
30,Long-tailed Tit,0.16666667500000001,28.571429591836722
31,Common Chiffchaff,0.16666667083333334,28.57142887755102
32,Yellow-billed Chough,0.16666666666666666,28.57142816326531
33,White-throated Dipper,0.16666665833333333,28.571426734693905
34,Barn Swallow,0.12512500000000001,21.449999693571435
35,Common Firecrest,0.12500000833333333,21.428572551020395
36,Garden Warbler,0.12500000833333333,21.428572551020395
37,Dunnock,0.12500000833333333,21.428572551020395
38,Eurasian Blue Tit,0.12500000833333333,21.428572551020395
39,European Serin,0.125,21.428571122448986
40,Eurasian Sparrowhawk,0.125,21.428571122448986
41,Rock Pigeon,0.125,21.428571122448986
42,House Sparrow,0.12499999583333332,21.42857040816328
43,Short-toed Snake-Eagle,0.12499999166666666,21.428569693877574
44,Short-toed Treecreeper,0.08345834166666667,14.307144081326514
45,Common Raven,0.083458325,14.307141224183697
46,Golden Eagle,0.08333334166666667,14.285715510204067
47,Bearded Vulture,0.08333334166666667,14.285715510204067
48,Rufous-tailed Rock-Thrush,0.08333334166666667,14.285715510204067
49,Eurasian Nuthatch,0.08333334166666667,14.285715510204067
50,Alpine Accentor,0.08333334166666667,14.285715510204067
51,Western Yellow Wagtail,0.08333333333333333,14.285714081632655
52,Song Thrush,0.08333333333333333,14.285714081632655
53,Red Crossbill,0.08333333333333333,14.285714081632655
54,Common Wood-Pigeon,0.08333333333333333,14.285714081632655
55,Willow Warbler,0.08333333333333333,14.285714081632655
56,Eurasian Bullfinch,0.042041666666666665,7.207142754183675
57,Eurasian Siskin,0.04166667500000001,7.142858469387738
58,Western Bonelli's Warbler,0.04166667500000001,7.142858469387738
59,Whinchat,0.041666666666666664,7.142857040816327
60,Western Capercaillie,0.041666666666666664,7.142857040816327
61,Eurasian Hobby,0.041666666666666664,7.142857040816327
62,Eurasian Magpie,0.041666666666666664,7.142857040816327
63,Ring-necked Pheasant,0.041666666666666664,7.142857040816327
64,European Honey-buzzard,0.041666666666666664,7.142857040816327
65,Booted Eagle,0.041666666666666664,7.142857040816327
66,Aquila sp.,0.041666666666666664,7.142857040816327
67,Boreal Owl,0.041666666666666664,7.142857040816327
68,Red-backed Shrike,0.041666666666666664,7.142857040816327
69,Yellowhammer,0.041666666666666664,7.142857040816327
70,Marsh Tit,0.041666666666666664,7.142857040816327
71,Wood Lark,0.041666666666666664,7.142857040816327
72,Eurasian Skylark,0.041666666666666664,7.142857040816327
73,Gray Partridge,0.041666666666666664,7.142857040816327
74,Western Subalpine Warbler,0.041666666666666664,7.142857040816327
75,European Greenfinch,0.0416666625,7.142856326530625
76,European Pied Flycatcher,0.000125,0.021428571122448985
77,European Bee-eater,0.000125,0.021428571122448985
78,Red Kite,0.000125,0.021428571122448985
79,Montagu's Harrier,0.000125,0.021428571122448985
80,Common Redstart,0.000125,0.021428571122448985
81,Western/Eastern Black-eared Wheatear,0.0,0.0
