Rank,Species,wtd_rf,rfpc
1,Black Redstart,0.7209302372093023,100.0
2,Northern Wheatear,0.6744534976744185,93.55322649320499
3,Water Pipit,0.6744186186046511,93.54838842872007
4,Eurasian Griffon,0.41870929767441856,58.079031238199796
5,Dunnock,0.4186046465116279,58.064515109261194
6,Eurasian Kestrel,0.37209301395348837,51.61290160249741
7,Eurasian Crag-Martin,0.34883719999999996,48.38709517169616
8,Common Raven,0.3488371976744186,48.38709484911553
9,Eurasian Linnet,0.30236046976744185,41.94032295522373
10,Gray Wagtail,0.30232557441860464,41.93548263267431
11,Yellow-billed Chough,0.27924417906976745,38.73386975010407
12,Red-billed Chough,0.2558139465116279,35.48386977107182
13,Citril Finch,0.23287208139534885,32.30161108192509
14,Western House-Martin,0.23255813488372096,32.258063662851214
15,Coal Tit,0.23255813023255814,32.25806301768992
16,White Wagtail,0.13953487906976744,19.35483793964621
17,Common Buzzard,0.13953487906976744,19.35483793964621
18,Short-toed Snake-Eagle,0.13953487441860465,19.354837294484923
19,Rufous-tailed Rock-Thrush,0.11655813023255815,16.16774054085329
20,Bearded Vulture,0.11631395116279071,16.133870541071808
21,Common Swift,0.11627906744186048,16.129031831425607
22,Rock Bunting,0.09302325348837209,12.903225400624352
23,Crested Tit,0.06983720930232558,9.687096711696151
24,Carrion Crow,0.06976744186046512,9.677419292403746
25,Red Crossbill,0.06976743953488372,9.677418969823105
26,Mistle Thrush,0.06976743953488372,9.677418969823105
27,Ring Ouzel,0.06976743953488372,9.677418969823105
28,Common Chiffchaff,0.06976743953488372,9.677418969823105
29,Alpine Accentor,0.04675581162790697,6.485483506545267
30,White-throated Dipper,0.046720927906976746,6.480644796899067
31,Booted Eagle,0.046511627906976744,6.451612861602499
32,European Starling,0.046511627906976744,6.451612861602499
33,Common Redstart,0.046511627906976744,6.451612861602499
34,Short-toed Treecreeper,0.04651162558139535,6.451612539021855
35,Common Chaffinch,0.04651162558139535,6.451612539021855
36,European Robin,0.04651162558139535,6.451612539021855
37,Black Kite,0.04651162558139535,6.451612539021855
38,Eurasian Blackcap,0.046511623255813955,6.4516122164412115
39,Peregrine Falcon,0.023569767441860467,3.2693548176170664
40,Alpine Swift,0.023430232558139537,3.2499999790322587
41,European Serin,0.023290697674418607,3.230645140447451
42,Eurasian Collared-Dove,0.023255813953488372,3.2258064308012493
43,Blue Rock-Thrush,0.023255813953488372,3.2258064308012493
44,Eurasian Blackbird,0.023255813953488372,3.2258064308012493
45,Rock Pigeon,0.023255813953488372,3.2258064308012493
46,Eurasian Jay,0.023255813953488372,3.2258064308012493
47,Goldcrest,0.023255813953488372,3.2258064308012493
48,Meadow Pipit,0.023255813953488372,3.2258064308012493
49,Wallcreeper,0.023255813953488372,3.2258064308012493
50,Common Firecrest,0.023255813953488372,3.2258064308012493
51,Eurasian Magpie,0.023255813953488372,3.2258064308012493
52,Long-tailed Tit,0.023255813953488372,3.2258064308012493
53,Tree Pipit,0.023255813953488372,3.2258064308012493
54,Great Tit,0.023255813953488372,3.2258064308012493
55,European Goldfinch,0.023255813953488372,3.2258064308012493
56,Common Wood-Pigeon,0.023255811627906978,3.2258061082206058
57,Great Spotted Woodpecker,0.023255811627906978,3.2258061082206058
58,Song Thrush,0.023255811627906974,3.2258061082206058
59,Golden Eagle,0.0001744186046511628,0.024193548231009367
60,pipit sp.,0.0,0.0
61,Eurasian Siskin,0.0,0.0
62,Rock Ptarmigan,0.0,0.0
63,Willow Warbler,0.0,0.0
64,European Stonechat,0.0,0.0
65,Eurasian Treecreeper,0.0,0.0
66,Western Capercaillie,0.0,0.0
67,Barn Swallow,0.0,0.0
68,Eurasian Skylark,0.0,0.0
69,Eurasian Blue Tit,0.0,0.0
70,crow sp.,0.0,0.0
71,Black Woodpecker,0.0,0.0
72,Common Kingfisher,0.0,0.0
73,European Honey-buzzard,0.0,0.0
74,Gray Heron,0.0,0.0
75,Red-legged Partridge,0.0,0.0
76,Gray Partridge,0.0,0.0
77,Yellowhammer,0.0,0.0
