Rank,Species,wtd_rf,rfpc
1,Brown Booby,0.9090909090909091,100.0
2,Brown Noddy,0.8181818181818182,90.00000000000001
3,Lesser Frigatebird,0.8181818181818182,90.00000000000001
4,Sooty Tern,0.7272727272727273,80.0
5,Great Crested Tern,0.6363636363636364,70.0
6,Masked Booby,0.5454545454545454,60.0
7,Pacific Reef-Heron,0.45454545454545453,50.0
8,Red-footed Booby,0.45454545454545453,50.0
9,Great Frigatebird,0.45454545454545453,50.0
10,Bridled Tern,0.45454545454545453,50.0
11,Nankeen Night Heron,0.36363636363636365,40.0
12,Red-tailed Tropicbird,0.36363636363636365,40.0
13,White-tailed Tropicbird,0.36363636363636365,40.0
14,Buff-banded Rail,0.36363636363636365,40.0
15,Lesser Noddy,0.2727272727272727,30.0
16,Greater Sand-Plover,0.2727272727272727,30.0
17,Common Sandpiper,0.2727272727272727,30.0
18,Little Egret,0.2727272727272727,30.0
19,Ruddy Turnstone,0.18181818181818182,20.0
20,Australian Pratincole,0.18181818181818182,20.0
21,Sharp-tailed Sandpiper,0.18181818181818182,20.0
22,Magpie-lark,0.18181818181818182,20.0
23,Eurasian Whimbrel,0.18181818181818182,20.0
24,Black Noddy,0.18181818181818182,20.0
25,Oriental Plover,0.18181818181818182,20.0
26,Gray-tailed Tattler,0.18181818181818182,20.0
27,Sanderling,0.18181818181818182,20.0
28,Pacific Golden-Plover,0.18181818181818182,20.0
29,Black-faced Cuckooshrike,0.18181818181818182,20.0
30,Sacred Kingfisher,0.18181818181818182,20.0
31,Wilson's Storm-Petrel,0.09104545454545455,10.015000000000002
32,Great Egret,0.09090909090909091,10.0
33,Brown/Black Noddy,0.09090909090909091,10.0
34,frigatebird sp.,0.09090909090909091,10.0
35,Red-necked Stint,0.09090909090909091,10.0
36,Great Knot,0.09090909090909091,10.0
37,Terek Sandpiper,0.09090909090909091,10.0
38,Supertramp Fantail,0.0,0.0
39,Brown Songlark,0.0,0.0
40,Eastern Yellow Wagtail,0.0,0.0
41,White-faced Heron,0.0,0.0
42,Gray Wagtail,0.0,0.0
43,Eurasian Tree Sparrow,0.0,0.0
44,Siberian Blue Robin,0.0,0.0
45,Little Heron,0.0,0.0
46,Yellow-browed Warbler,0.0,0.0
47,Asian Brown Flycatcher,0.0,0.0
48,Barn Swallow,0.0,0.0
49,Tawny Grassbird,0.0,0.0
50,Medium/Plumed Egret,0.0,0.0
51,Rainbow Bee-eater,0.0,0.0
52,Middendorff's Grasshopper Warbler,0.0,0.0
53,Chestnut-cheeked Starling,0.0,0.0
54,Island Monarch,0.0,0.0
55,Australian Yellow White-eye,0.0,0.0
56,Collared Kingfisher,0.0,0.0
57,Dollarbird,0.0,0.0
58,Peregrine Falcon,0.0,0.0
59,Yellow Chat,0.0,0.0
60,Pallas's Grasshopper Warbler,0.0,0.0
61,Australian Reed Warbler,0.0,0.0
62,Oriental Reed Warbler,0.0,0.0
63,Brown Shrike,0.0,0.0
64,Japanese Leaf/Arctic/Kamchatka Leaf Warbler,0.0,0.0
65,White-winged Triller,0.0,0.0
66,Eastern Crowned Warbler,0.0,0.0
67,Horsfield's Bronze-Cuckoo,0.0,0.0
68,Little Black Cormorant,0.0,0.0
69,Siberian Sand-Plover,0.0,0.0
70,Asian Dowitcher,0.0,0.0
71,Black-tailed Godwit,0.0,0.0
72,Bar-tailed Godwit,0.0,0.0
73,Far Eastern Curlew,0.0,0.0
74,Little Curlew,0.0,0.0
75,Siberian/Tibetan Sand-Plover,0.0,0.0
76,Black-bellied Plover,0.0,0.0
77,Abbott's Booby,0.0,0.0
78,Pied Stilt,0.0,0.0
79,House Swift,0.0,0.0
80,Pacific Swift,0.0,0.0
81,Oriental Cuckoo,0.0,0.0
82,Pallid Cuckoo,0.0,0.0
83,Little Bronze-Cuckoo,0.0,0.0
84,Red-necked Phalarope,0.0,0.0
85,Common Redshank,0.0,0.0
86,Common Greenshank,0.0,0.0
87,Red Knot,0.0,0.0
88,Broad-billed Sandpiper,0.0,0.0
89,Curlew Sandpiper,0.0,0.0
90,Little Stint,0.0,0.0
91,Oriental Pratincole,0.0,0.0
92,Sooty/Bridled Tern,0.0,0.0
93,Little Tern,0.0,0.0
94,Gull-billed/Australian Tern,0.0,0.0
95,White-winged Tern,0.0,0.0
96,Roseate Tern,0.0,0.0
97,Shining Bronze-Cuckoo,0.0,0.0
98,Bulwer's Petrel,0.0,0.0
99,Jouanin's Petrel,0.0,0.0
100,Streaked Shearwater,0.0,0.0
101,Pechora Pipit,0.0,0.0
