Rank,Species,wtd_rf,rfpc
1,Brown Booby,0.8181818272727273,100.0
2,Masked Booby,0.7272727181818182,88.88888679012348
3,Red-footed Booby,0.7272727181818182,88.88888679012348
4,Brown Noddy,0.6363636272727272,77.77777580246915
5,Sooty Tern,0.6363636272727272,77.77777580246915
6,Lesser Frigatebird,0.45454545454545453,55.55555493827161
7,Bridled Tern,0.45454545454545453,55.55555493827161
8,Great Crested Tern,0.2727272727272727,33.33333296296296
9,Lesser Noddy,0.2727272727272727,33.33333296296296
10,Sooty/Bridled Tern,0.09090909090909091,11.111110987654323
11,Great Frigatebird,0.09090909090909091,11.111110987654323
12,Roseate Tern,0.09090909090909091,11.111110987654323
13,Wilson's Storm-Petrel,0.09090909090909091,11.111110987654323
14,frigatebird sp.,0.09090909090909091,11.111110987654323
15,Wedge-tailed Shearwater,0.09090909090909091,11.111110987654323
16,Tree Martin,0.09090909090909091,11.111110987654323
17,tern sp.,0.09090908181818182,11.111109876543225
18,Black Noddy,0.09090908181818182,11.111109876543225
19,Sacred Kingfisher,0.0,0.0
20,Pacific Swift,0.0,0.0
21,Tahiti Petrel,0.0,0.0
22,Bulwer's Petrel,0.0,0.0
23,Common Tern,0.0,0.0
24,White-winged Tern,0.0,0.0
25,Caspian Tern,0.0,0.0
26,White-tailed Tropicbird,0.0,0.0
