Rank,Species,wtd-rf,rfpc
1,Green-and-gold Tanager,0.4424230826923077,100.0
2,Blue-gray Tanager,0.4231923250000001,95.65331049743577
3,Black Vulture,0.4038461673076924,91.28053736485435
4,Blue-and-white Swallow,0.4038461634615385,91.28053649551593
5,Tropical Kingbird,0.38473075961538467,86.95992019090778
6,Silver-beaked Tanager,0.38473075961538467,86.95992019090778
7,Bananaquit,0.3461538519230769,78.24045929443893
8,Black-faced Dacnis,0.32703847500000005,73.91984907519976
9,Southern House Wren,0.3078076980769231,69.57315522594338
10,Blue-necked Tanager,0.3078076865384615,69.57315261792812
11,Glittering-throated Emerald,0.30769230576923073,69.54707333460306
12,Paradise Tanager,0.30769229807692305,69.54707159592621
13,Roadside Hawk,0.28851923653846157,65.21342303903214
14,Southern Rough-winged Swallow,0.2884615365384615,65.20038122402354
15,Violaceous Jay,0.2692307788461539,60.8536917214593
16,Orange-bellied Euphonia,0.26923075192307694,60.85368563609034
17,Turkey Vulture,0.2501730942307692,56.54612157855183
18,Russet-backed Oropendola,0.25017306346153845,56.54611462384446
19,White-banded Swallow,0.2500000134615385,56.5070004802182
20,Bay-headed Tanager,0.25000000769230774,56.50699917621057
21,Palm Tanager,0.23082691346153844,52.17334322993988
22,Blue-headed Parrot,0.23076921346153847,52.16030141493131
23,Black Phoebe,0.21171152499999998,47.852730402685424
24,Masked Tanager,0.21165386730769228,47.83969815039948
25,Chestnut-bellied Seedeater,0.21165386346153847,47.83969728106106
26,Common Squirrel-Cuckoo,0.2115384673076923,47.813614520382316
27,Yellow-bellied Tanager,0.1924230711538462,43.49299995445102
28,Peruvian Warbling-Antbird,0.19230770192307695,43.46692327914123
29,Purplish Jacamar,0.19230769423076927,43.466921540464384
30,Green Honeycreeper,0.19230768846153848,43.46692023645675
31,Yellow-rumped Cacique,0.17336536923076923,39.18542589952066
32,Yellow-browed Sparrow,0.17325000192307696,39.15934965888009
33,Ornate Flycatcher,0.17313460576923076,39.133266898201335
34,Long-tailed Tyrant,0.1730769326923077,39.12023116856171
35,Greater Yellow-headed Vulture,0.17307692500000002,39.120229429884866
36,White-necked Thrush,0.17307691730769234,39.12022769120803
37,Black Caracara,0.17307691730769234,39.12022769120803
38,Scaly-breasted Wren,0.15401924615384616,34.81266059098504
39,Orange-throated Tanager,0.15401922115384614,34.81265494028529
40,Black-billed Thrush,0.15384616730769232,34.77353992732062
41,Lineated Woodpecker,0.15384616346153848,34.77353905798219
42,Black-capped Donacobius,0.15384615576923075,34.77353731930534
43,Amazon Kingfisher,0.15384614615384615,34.773535145959286
44,Gray-capped Flycatcher,0.13473077115384613,30.452925361389305
45,Wedge-billed Woodcreeper,0.1347307519230769,30.452921014697193
46,Amethyst Woodstar,0.13461539423076924,30.426846947402673
47,White-eyed Parakeet,0.13461538653846153,30.42684520872583
48,Slaty-capped Shrike-Vireo,0.1346153826923077,30.42684433938741
49,White-lined Tanager,0.13461537884615382,30.42684347004898
50,Olivaceous Woodcreeper,0.134615375,30.426842600710568
51,Chestnut-eared Aracari,0.13461536346153846,30.4268399926953
52,Common Pauraque,0.115730775,26.15839442547517
53,Yellow-backed Tanager,0.1157307673076923,26.158392686798322
54,Gray-breasted Sabrewing,0.11573076346153846,26.158391817459904
55,Flame-crested Tanager,0.11555770192307692,26.11927506581837
56,Band-bellied Owl,0.11547115000000001,26.09971190863629
57,Swallow-tailed Kite,0.1154423019230769,26.093191435801206
58,Smooth-billed Ani,0.11538461923076924,26.080153532815526
59,Plumbeous Kite,0.11538461923076923,26.080153532815526
60,Slaty-capped Flycatcher,0.11538461730769231,26.080153098146315
61,Buff-rumped Warbler,0.11538461346153846,26.08015222880789
62,Masked Tityra,0.11538461346153846,26.08015222880789
63,Social Flycatcher,0.11538460192307692,26.080149620792625
64,Gray-chinned Hermit,0.11538460192307692,26.080149620792625
65,Green-backed Trogon,0.09644231538461538,21.79866267323312
66,Dark-breasted Spinetail,0.09638460961538461,21.785619554216908
67,Turquoise Tanager,0.09638459807692307,21.78561694620164
68,Lafresnaye's Piculet,0.0963269173076923,21.772579477885166
69,Speckled Chachalaca,0.09632690769230769,21.772577304539112
70,Collared Trogon,0.09621152884615383,21.746498455883266
71,Spotted Tanager,0.09615385769230769,21.73346316091285
72,Gilded Barbet,0.09615385576923077,21.73346272624364
73,Olive-faced Flatbill,0.09615385576923077,21.73346272624364
74,Thick-billed Euphonia,0.09615384230769232,21.73345968355917
75,Yellow-tufted Woodpecker,0.09615384038461539,21.733459248889954
76,Buff-throated Saltator,0.09615384038461537,21.73345924888995
77,Lined Antshrike,0.09615384038461537,21.73345924888995
78,Plumbeous Pigeon,0.07744231346153846,17.50413043331135
79,Yellow-bellied Dacnis,0.0772692423076923,17.465011508323766
80,Short-crested Flycatcher,0.07726922307692306,17.46500716163165
81,Gray-breasted Martin,0.07715383269230768,17.438925704960543
82,Blue Dacnis,0.07715383269230768,17.438925704960543
83,Ringed Kingfisher,0.07715383076923077,17.43892527029133
84,Crested Oropendola,0.07709615384615386,17.425888671313285
85,Fiery-throated Fruiteater,0.07709614807692307,17.42588736730565
86,Channel-billed Toucan,0.07709614423076923,17.425886497967227
87,Boat-billed Flycatcher,0.07709614423076923,17.425886497967227
88,Golden-winged Tody-Flycatcher,0.07698077115384615,17.399808953319017
89,Dusky-capped Flycatcher,0.07698077115384615,17.399808953319017
90,Black-and-white Tody-Flycatcher,0.07698076346153845,17.39980721464217
91,Spotted Sandpiper,0.07692308269230769,17.3867697463257
92,Ruddy Pigeon,0.07692307884615385,17.38676887698728
93,Coraya Wren,0.07692307884615383,17.386768876987276
94,Great-billed Hermit,0.076923075,17.386768007648858
95,Dusky-capped Greenlet,0.076923075,17.386768007648858
96,Yellow-throated Chlorospingus,0.076923075,17.386768007648858
97,Pygmy Antwren,0.076923075,17.386768007648858
98,White-breasted Wood-Wren,0.07692307115384615,17.386767138310436
99,Ecuadorian Tyrannulet,0.07692307115384615,17.386767138310436
100,White-thighed Swallow,0.07692307115384615,17.386767138310436
101,Magpie Tanager,0.07692307115384615,17.386767138310436
102,Gray-rumped Swift,0.07692307115384615,17.386767138310436
103,Thrush-like Wren,0.07692307115384615,17.386767138310436
104,Amazonian Violaceous Trogon,0.07692306923076922,17.38676670364122
105,Little Tinamou,0.0769230673076923,17.38676626897201
106,Orange-billed Sparrow,0.0769230673076923,17.38676626897201
107,Green Hermit,0.07692306346153846,17.386765399633592
108,Fork-tailed Woodnymph,0.07692306346153846,17.386765399633592
109,Streaked Xenops,0.07692305961538462,17.38676453029517
110,Opal-rumped Tanager,0.0581538576923077,13.144399550407728
111,Red-crested Finch,0.05803845384615384,13.118315051052138
112,Plain Antvireo,0.057923078846153844,13.092237071734717
113,Fulvous Shrike-Tanager,0.05786538653846153,13.079196995402976
114,Common Tody-Flycatcher,0.05786538269230769,13.079196126064554
115,White-winged Becard,0.057750007692307696,13.053118146747133
116,Wing-barred Piprites,0.05775000576923077,13.053117712077922
117,Ocellated Woodcreeper,0.057750001923076916,13.053116842739499
118,White-eyed Tody-Tyrant,0.057750001923076916,13.053116842739499
119,Blackish Pewee,0.05775,13.05311640807029
120,Black Antbird,0.057749998076923076,13.053115973401077
121,Yellow-shouldered Grosbeak,0.057749994230769236,13.053115104062657
122,Dusky-cheeked Foliage-gleaner,0.057749994230769236,13.053115104062657
123,Duida Woodcreeper,0.05774998461538461,13.053112930716601
124,Uniform Crake,0.057692319230769236,13.040078939753819
125,Pale-edged Flycatcher,0.05769231538461539,13.040078070415396
126,Rusty-winged Antwren,0.05769231346153846,13.040077635746183
127,Slate-colored Grosbeak,0.057692309615384615,13.040076766407763
128,Plain-backed Antpitta,0.057692309615384615,13.040076766407763
129,Green-backed Becard,0.057692309615384615,13.040076766407763
130,Great Kiskadee,0.057692307692307696,13.04007633173855
131,Golden Tanager,0.057692303846153856,13.04007546240013
132,Yellow-olive Flatbill,0.05769230192307692,13.040075027730918
133,Great Antshrike,0.057692299999999995,13.040074593061707
134,White-bearded Manakin,0.057692299999999995,13.040074593061707
135,Blue-black Grassquit,0.057692299999999995,13.040074593061707
136,Cobalt-winged Parakeet,0.057692298076923075,13.040074158392494
137,Olive-striped Flycatcher,0.057692298076923075,13.040074158392494
138,Torrent Tyrannulet,0.057692298076923075,13.040074158392494
139,Chestnut-bellied Seed-Finch,0.05769229230769231,13.040072854384862
140,Euler's Flycatcher,0.03875000192307692,8.758585037486938
141,Orange-eared Tanager,0.038692303846153846,8.745543657147566
142,Yellow-crowned Tyrannulet,0.038692300000000006,8.745542787809145
143,Golden-faced Tyrannulet,0.038692300000000006,8.745542787809145
144,Golden-bellied Euphonia,0.038692300000000006,8.745542787809145
145,Blackish Antbird,0.0386923,8.745542787809143
146,Zimmer's Antbird,0.038634613461538465,8.73250401548504
147,Black-eared Fairy,0.03863460769230769,8.732502711477405
148,Andean Cock-of-the-rock,0.03863460769230769,8.732502711477405
149,Striated Heron,0.03863460769230769,8.732502711477405
150,Lemon-browed Flycatcher,0.03857691346153846,8.719462200476455
151,Red-stained Woodpecker,0.038548080769230775,8.712945204995066
152,Epaulet Oriole,0.03851923269230769,8.706424732159983
153,Hairy-crested Antbird,0.03851923269230769,8.706424732159983
154,Speckled Spinetail,0.03851923269230769,8.706424732159983
155,Crowned Slaty Flycatcher,0.03851923269230769,8.706424732159983
