Rank,Species,wtd_rf,rfpc
1,Long-tailed Tyrant,1.0,100.0
2,Purplish Jacamar,1.0,100.0
3,Green-and-gold Tanager,1.0,100.0
4,Glittering-throated Emerald,1.0,100.0
5,Golden Tanager,1.0,100.0
6,Paradise Tanager,1.0,100.0
7,Social Flycatcher,1.0,100.0
8,Tropical Kingbird,1.0,100.0
9,Amethyst Woodstar,1.0,100.0
10,Green Honeycreeper,1.0,100.0
11,Palm Tanager,1.0,100.0
12,Southern Rough-winged Swallow,1.0,100.0
13,Dusky-capped Flycatcher,1.0,100.0
14,Bay-headed Tanager,1.0,100.0
15,Black Vulture,1.0,100.0
16,Green Hermit,1.0,100.0
17,White-banded Swallow,1.0,100.0
18,Blue-and-white Swallow,1.0,100.0
19,Olivaceous Woodcreeper,1.0,100.0
20,Bananaquit,1.0,100.0
21,Silver-beaked Tanager,1.0,100.0
22,Ruddy Pigeon,1.0,100.0
23,Plumbeous Kite,0.0015,0.15
24,Opal-rumped Tanager,0.0015,0.15
25,Orange-bellied Euphonia,0.0015,0.15
26,Yellow-browed Sparrow,0.0015,0.15
27,Russet-backed Oropendola,0.0015,0.15
28,Turquoise Tanager,0.0015,0.15
29,Crested Oropendola,0.0015,0.15
30,Yellow-rumped Cacique,0.0015,0.15
31,Masked Tanager,0.0015,0.15
32,Channel-billed Toucan,0.0015,0.15
33,Flame-crested Tanager,0.0015,0.15
34,Thick-billed Euphonia,0.0015,0.15
35,Common Tody-Flycatcher,0.0015,0.15
36,Speckled Chachalaca,0.0015,0.15
37,Black Phoebe,0.0015,0.15
38,Turkey Vulture,0.0015,0.15
39,Buff-tailed Sicklebill,0.0015,0.15
40,Pale-tailed Barbthroat,0.0015,0.15
41,Tawny-bellied Hermit,0.0015,0.15
42,Smooth-billed Ani,0.0015,0.15
43,Red-crested Finch,0.0015,0.15
44,Plumbeous Pigeon,0.0015,0.15
45,Yellow-backed Tanager,0.0015,0.15
46,Boat-billed Flycatcher,0.0015,0.15
47,Black-faced Dacnis,0.0015,0.15
48,Striated Heron,0.0015,0.15
49,Black-billed Thrush,0.0,0.0
50,White-necked Thrush,0.0,0.0
51,Golden-bellied Euphonia,0.0,0.0
52,Swainson's Thrush,0.0,0.0
53,Olive-sided Flycatcher,0.0,0.0
54,Western Wood-Pewee,0.0,0.0
55,Coraya Wren,0.0,0.0
56,Thrush-like Wren,0.0,0.0
57,White-vented Euphonia,0.0,0.0
58,Southern House Wren,0.0,0.0
59,Scaly-breasted Wren,0.0,0.0
60,Barn Swallow,0.0,0.0
61,White-thighed Swallow,0.0,0.0
62,Short-crested Flycatcher,0.0,0.0
63,Violaceous Jay,0.0,0.0
64,Turquoise Jay,0.0,0.0
65,Pale-edged Flycatcher,0.0,0.0
66,Slaty-capped Shrike-Vireo,0.0,0.0
67,Great Kiskadee,0.0,0.0
68,Gray-capped Flycatcher,0.0,0.0
69,Lemon-browed Flycatcher,0.0,0.0
70,Great Tinamou,0.0,0.0
71,Bronze-green Euphonia,0.0,0.0
72,Yellow-throated Chlorospingus,0.0,0.0
73,Slate-colored Grosbeak,0.0,0.0
74,Bluish-gray Saltator,0.0,0.0
75,Black-and-white Seedeater,0.0,0.0
76,Chestnut-bellied Seed-Finch,0.0,0.0
77,Chestnut-bellied Seedeater,0.0,0.0
78,Blue-black Grassquit,0.0,0.0
79,Deep-blue Flowerpiercer,0.0,0.0
80,Chestnut-vented Conebill,0.0,0.0
81,Purple Honeycreeper,0.0,0.0
82,Blue Dacnis,0.0,0.0
83,Yellow-bellied Dacnis,0.0,0.0
84,Swallow Tanager,0.0,0.0
85,Golden-eared Tanager,0.0,0.0
86,Blue-necked Tanager,0.0,0.0
87,Yellow-bellied Tanager,0.0,0.0
88,Blue-gray Tanager,0.0,0.0
89,Yellow-throated Tanager,0.0,0.0
90,Orange-throated Tanager,0.0,0.0
91,Fulvous Shrike-Tanager,0.0,0.0
92,White-lined Tanager,0.0,0.0
93,Sooty-headed Tyrannulet,0.0,0.0
94,Magpie Tanager,0.0,0.0
95,Scarlet Tanager,0.0,0.0
96,Summer Tanager,0.0,0.0
97,Slate-throated Redstart,0.0,0.0
98,Canada Warbler,0.0,0.0
99,Tropical Parula,0.0,0.0
100,Solitary Black Cacique,0.0,0.0
101,Orange-billed Sparrow,0.0,0.0
102,Golden-faced Tyrannulet,0.0,0.0
103,Ochre-bellied Flycatcher,0.0,0.0
104,Forest Elaenia,0.0,0.0
105,Greater Yellow-headed Vulture,0.0,0.0
106,Swallow-tailed Kite,0.0,0.0
107,Roadside Hawk,0.0,0.0
108,Tropical Screech-Owl,0.0,0.0
109,Band-bellied Owl,0.0,0.0
110,Ferruginous Pygmy-Owl,0.0,0.0
111,Green-backed Trogon,0.0,0.0
112,Collared Trogon,0.0,0.0
113,Ringed Kingfisher,0.0,0.0
114,Amazon Kingfisher,0.0,0.0
115,Green Kingfisher,0.0,0.0
116,Gilded Barbet,0.0,0.0
117,Red-headed Barbet,0.0,0.0
118,Chestnut-eared Aracari,0.0,0.0
119,Ivory-billed Aracari,0.0,0.0
120,Lafresnaye's Piculet,0.0,0.0
121,Yellow-tufted Woodpecker,0.0,0.0
122,Crimson-bellied Woodpecker,0.0,0.0
123,Gray-headed Kite,0.0,0.0
124,Chestnut-headed Crake,0.0,0.0
125,Lineated Woodpecker,0.0,0.0
126,Golden-tailed Sapphire,0.0,0.0
127,Little Tinamou,0.0,0.0
128,Common Squirrel-Cuckoo,0.0,0.0
129,Common Pauraque,0.0,0.0
130,White-chinned Swift,0.0,0.0
131,White-collared Swift,0.0,0.0
132,Gray-rumped Swift,0.0,0.0
133,Great-billed Hermit,0.0,0.0
134,Gray-chinned Hermit,0.0,0.0
135,Black-eared Fairy,0.0,0.0
136,Black-bellied Thorntail,0.0,0.0
137,Ecuadorian Piedtail,0.0,0.0
138,Black-throated Brilliant,0.0,0.0
139,White-bellied Woodstar,0.0,0.0
140,Blue-tailed Emerald,0.0,0.0
141,Violet-headed Hummingbird,0.0,0.0
142,Gray-breasted Sabrewing,0.0,0.0
143,Fork-tailed Woodnymph,0.0,0.0
144,Crimson-crested Woodpecker,0.0,0.0
145,Crimson-mantled Woodpecker,0.0,0.0
146,Yellow-crowned Tyrannulet,0.0,0.0
147,Streaked Xenops,0.0,0.0
148,Buff-fronted Foliage-gleaner,0.0,0.0
149,Ochre-throated Foliage-gleaner,0.0,0.0
150,Speckled Spinetail,0.0,0.0
151,Dark-breasted Spinetail,0.0,0.0
152,Spangled Cotinga,0.0,0.0
153,Black-crowned Tityra,0.0,0.0
154,Masked Tityra,0.0,0.0
155,Chestnut-crowned Becard,0.0,0.0
156,White-winged Becard,0.0,0.0
157,White-throated Spadebill,0.0,0.0
158,Olive-striped Flycatcher,0.0,0.0
159,Cinereous Tinamou,0.0,0.0
160,Ecuadorian Tyrannulet,0.0,0.0
161,Rusty-fronted Tody-Flycatcher,0.0,0.0
162,Golden-winged Tody-Flycatcher,0.0,0.0
163,Olive-faced Flatbill,0.0,0.0
164,Ornate Flycatcher,0.0,0.0
165,Montane Foliage-gleaner,0.0,0.0
166,Slender-billed Xenops,0.0,0.0
167,Spot-breasted Woodpecker,0.0,0.0
168,Wedge-billed Woodcreeper,0.0,0.0
169,Laughing Falcon,0.0,0.0
170,Black Caracara,0.0,0.0
171,Blue-headed Parrot,0.0,0.0
172,White-eyed Parakeet,0.0,0.0
173,Lined Antshrike,0.0,0.0
174,Plain-winged Antshrike,0.0,0.0
175,Plain Antvireo,0.0,0.0
176,White-flanked Antwren,0.0,0.0
177,Rusty-winged Antwren,0.0,0.0
178,Peruvian Warbling-Antbird,0.0,0.0
179,Blackish Antbird,0.0,0.0
180,Western Fire-eye,0.0,0.0
181,White-browed Antbird,0.0,0.0
182,Zimmer's Antbird,0.0,0.0
183,Thrush-like Antpitta,0.0,0.0
184,White-crowned Tapaculo,0.0,0.0
185,Yungas Long-tailed Woodcreeper (undescribed form),0.0,0.0
186,passerine sp.,0.0,0.0
