Rank,Species,wtd_rf,rfpc
1,House Finch,0.7275454545454546,100.0
2,American Crow,0.6366363727272727,87.50468699237784
3,Lesser Goldfinch,0.45468180909090905,62.49531300762213
4,Say's Phoebe,0.3640454636363636,50.037487192302876
5,Black-capped Chickadee,0.2729999909090909,37.52342746470073
6,Common Raven,0.2729999909090909,37.52342746470073
7,Mallard,0.2728636272727272,37.504684493315
8,Bushtit,0.1823636363636364,25.06560039985006
9,House Sparrow,0.1823636363636364,25.06560039985006
10,Northern Flicker,0.18222726363636363,25.0468561789329
11,Broad-tailed Hummingbird,0.18222726363636363,25.0468561789329
12,Rock Pigeon,0.18209089999999997,25.028113207547165
13,Rufous Hummingbird,0.18195454545454545,25.00937148569286
14,Canada Goose,0.18195454545454545,25.00937148569286
15,Cliff Swallow,0.18195453636363634,25.00937023616143
16,White-breasted Nuthatch,0.18195453636363634,25.00937023616143
17,Downy Woodpecker,0.09145453636363637,12.570284893165063
18,American Robin,0.09131818181818181,12.551543171310756
19,Cedar Waxwing,0.0911818181818182,12.53280019992503
20,Red-tailed Hawk,0.09118181818181817,12.532800199925026
21,Barn Swallow,0.09118181818181817,12.532800199925026
22,Selasphorus sp.,0.09104545454545455,12.514057228539299
23,Hairy Woodpecker,0.09104545454545455,12.514057228539299
24,Violet-green Swallow,0.09104544545454546,12.514055979007871
25,Northern Rough-winged Swallow,0.09104544545454546,12.514055979007871
26,Song Sparrow,0.09104544545454546,12.514055979007871
27,Mississippi Kite,0.09090909090909091,12.495314257153566
28,Chihuahuan Raven,0.09090909090909091,12.495314257153566
29,hawk sp.,0.09090909090909091,12.495314257153566
30,Ring-billed Gull,0.09090909090909091,12.495314257153566
31,Western Flycatcher,0.09090909090909091,12.495314257153566
32,Black-chinned Hummingbird,0.09090908181818182,12.49531300762214
33,Chimney Swift,0.0008181818181818182,0.11245782831438209
34,Turkey Vulture,0.0005454545454545455,0.0749718855429214
35,Eurasian Collared-Dove,0.0005454545454545455,0.0749718855429214
36,Spotted Towhee,0.00040909090909090913,0.05622891415719106
37,raven sp.,0.00040909090909090913,0.05622891415719106
38,Mourning Dove,0.00040909090909090913,0.05622891415719106
39,Mountain Chickadee,0.00027272727272727274,0.0374859427714607
40,American Goldfinch,0.00027272727272727274,0.0374859427714607
41,Pygmy Nuthatch,0.00027272727272727274,0.0374859427714607
42,new world flycatcher sp.,0.00013636363636363637,0.01874297138573035
43,Swainson's Hawk,0.00013636363636363637,0.01874297138573035
44,European Starling,0.00013636363636363637,0.01874297138573035
45,California Gull,0.00013636363636363637,0.01874297138573035
46,large swift sp.,0.00013636363636363637,0.01874297138573035
47,Killdeer,0.00013636363636363637,0.01874297138573035
48,Common Nighthawk,0.00013636363636363637,0.01874297138573035
49,Northern Yellow Warbler,0.00013636363636363637,0.01874297138573035
50,Great Blue Heron,0.00013636363636363637,0.01874297138573035
51,Sharp-shinned Hawk,0.00013636363636363637,0.01874297138573035
52,hummingbird sp.,0.00013636363636363637,0.01874297138573035
53,Chipping Sparrow,0.00013636363636363637,0.01874297138573035
54,finch sp.,0.00013636363636363637,0.01874297138573035
55,Great Horned Owl,0.00013636363636363637,0.01874297138573035
56,Townsend's Solitaire,0.0,0.0
57,Bohemian Waxwing,0.0,0.0
58,Wilson's Warbler,0.0,0.0
59,Lazuli Bunting,0.0,0.0
60,Common Grackle,0.0,0.0
61,Yellow-rumped Warbler,0.0,0.0
62,Red Crossbill,0.0,0.0
63,Brown-headed Cowbird,0.0,0.0
64,Cassin's Finch,0.0,0.0
65,Red-winged Blackbird,0.0,0.0
66,White-crowned Sparrow,0.0,0.0
67,Dark-eyed Junco,0.0,0.0
68,Evening Grosbeak,0.0,0.0
69,Northern House Wren,0.0,0.0
70,Pine Siskin,0.0,0.0
71,Cackling Goose,0.0,0.0
72,Blue Jay,0.0,0.0
73,Red-breasted Nuthatch,0.0,0.0
74,Northern Harrier,0.0,0.0
75,Gadwall,0.0,0.0
76,American Wigeon,0.0,0.0
77,dabbling duck sp.,0.0,0.0
78,Wild Turkey,0.0,0.0
79,White-throated Swift,0.0,0.0
80,Sandhill Crane,0.0,0.0
81,gull sp.,0.0,0.0
82,American White Pelican,0.0,0.0
83,Osprey,0.0,0.0
84,Cooper's Hawk,0.0,0.0
85,Sharp-shinned/Cooper's Hawk,0.0,0.0
86,Bald Eagle,0.0,0.0
87,Ruby-crowned/Golden-crowned Kinglet,0.0,0.0
88,Broad-winged Hawk,0.0,0.0
89,American Kestrel,0.0,0.0
90,Prairie Falcon,0.0,0.0
91,diurnal raptor sp.,0.0,0.0
92,Western Wood-Pewee,0.0,0.0
93,Woodhouse's Scrub-Jay,0.0,0.0
94,Black-billed Magpie,0.0,0.0
95,Tree Swallow,0.0,0.0
96,swallow sp.,0.0,0.0
97,Ruby-crowned Kinglet,0.0,0.0
98,Golden-crowned Kinglet,0.0,0.0
99,passerine sp.,0.0,0.0
