Rank,Species,wtd-rf,rfpc
1,House Finch,0.650225,100.0
2,American Crow,0.450225,69.24141643277326
3,Northern Flicker,0.400225,61.55177054096659
4,Broad-tailed Hummingbird,0.3503,53.873659117997605
5,Say's Phoebe,0.300525005,46.21861740166865
6,Common Raven,0.30022498999999997,46.17247721942404
7,Lesser Goldfinch,0.25014999,38.471296858779645
8,American Robin,0.200600005,30.850860086892993
9,Bushtit,0.200525,30.839324849090698
10,Black-capped Chickadee,0.2003,30.804721442577566
11,Rock Pigeon,0.2003,30.804721442577566
12,House Sparrow,0.1509,23.207351301472567
13,White-breasted Nuthatch,0.150449995,23.138143719481715
14,Downy Woodpecker,0.15029999,23.115074012841706
15,Cedar Waxwing,0.15014999499999998,23.092005844130874
16,Mallard,0.15014998999999998,23.092005075166284
17,Rufous Hummingbird,0.149999995,23.068936906455455
18,Black-chinned Hummingbird,0.100299995,15.425428889999615
19,Chipping Sparrow,0.10022500000000001,15.413895190126494
20,Barn Swallow,0.100224995,15.413894421161903
21,Canada Goose,0.10014999499999999,15.402359952324193
22,Cliff Swallow,0.10014998999999998,15.402359183359602
23,Violet-green Swallow,0.10014998999999998,15.402359183359602
24,Calliope Hummingbird,0.099999995,15.379291014648775
25,Chimney Swift,0.0509,7.828059517859202
26,Western Wood-Pewee,0.0506,7.781921642508362
27,Blue Jay,0.050525,7.7703871736706525
28,Turkey Vulture,0.050525,7.7703871736706525
29,Red-tailed Hawk,0.050375,7.747318235995232
30,Hairy Woodpecker,0.050374995,7.747317467030642
31,Wilson's Warbler,0.0503,7.735783767157521
32,Great Blue Heron,0.05014999999999999,7.712714829482101
33,Song Sparrow,0.05014999499999999,7.712714060517511
34,Northern Rough-winged Swallow,0.05014999499999999,7.712714060517511
35,Mississippi Kite,0.050075,7.701180360644392
36,Selasphorus sp.,0.050074995,7.701179591679802
37,Chihuahuan Raven,0.05,7.6896458918066815
38,Ring-billed Gull,0.05,7.6896458918066815
39,Bullock's Oriole,0.05,7.6896458918066815
40,Western Flycatcher,0.05,7.6896458918066815
41,Common Nighthawk,0.049999995,7.689645122842093
42,hawk sp.,0.049999995,7.689645122842093
43,Mourning Dove,0.000675,0.10381021953939022
44,raven sp.,0.0006000000000000001,0.09227575070168019
45,Spotted Towhee,0.0005250000000000001,0.08074128186397017
46,Eurasian Collared-Dove,0.00045000000000000004,0.06920681302626014
47,Great Horned Owl,0.00045,0.06920681302626014
48,American Goldfinch,0.000375,0.05767234418855012
49,Pygmy Nuthatch,0.000375,0.05767234418855012
50,Northern Yellow Warbler,0.000375,0.05767234418855012
51,Mountain Chickadee,0.000375,0.05767234418855012
52,Killdeer,0.00030000000000000003,0.046137875350840095
53,Red-breasted Nuthatch,0.00022500000000000002,0.03460340651313007
54,Swainson's Hawk,0.00022500000000000002,0.03460340651313007
55,new world flycatcher sp.,0.00022500000000000002,0.03460340651313007
56,Wild Turkey,0.00022500000000000002,0.03460340651313007
57,Evening Grosbeak,0.00022500000000000002,0.03460340651313007
58,Sharp-shinned Hawk,0.00022500000000000002,0.03460340651313007
59,hummingbird sp.,0.00022500000000000002,0.03460340651313007
60,finch sp.,0.00015000000000000001,0.023068937675420047
61,California Gull,0.00015000000000000001,0.023068937675420047
62,large swift sp.,7.500000000000001e-05,0.011534468837710024
63,Red Crossbill,7.500000000000001e-05,0.011534468837710024
64,Cooper's Hawk,7.500000000000001e-05,0.011534468837710024
65,Northern Harrier,7.500000000000001e-05,0.011534468837710024
66,European Starling,7.500000000000001e-05,0.011534468837710024
67,Dark-eyed Junco,0.0,0.0
68,MacGillivray's Warbler,0.0,0.0
69,Common Grackle,0.0,0.0
70,Brown-headed Cowbird,0.0,0.0
71,Cassin's Finch,0.0,0.0
72,Yellow-rumped Warbler,0.0,0.0
73,Pine Siskin,0.0,0.0
74,Red-winged Blackbird,0.0,0.0
75,Lazuli Bunting,0.0,0.0
76,White-crowned Sparrow,0.0,0.0
77,Indigo Bunting,0.0,0.0
78,Bohemian Waxwing,0.0,0.0
79,Cackling Goose,0.0,0.0
80,Townsend's Solitaire,0.0,0.0
81,Northern House Wren,0.0,0.0
82,Gadwall,0.0,0.0
83,American Wigeon,0.0,0.0
84,dabbling duck sp.,0.0,0.0
85,White-throated Swift,0.0,0.0
86,Sandhill Crane,0.0,0.0
87,gull sp.,0.0,0.0
88,American White Pelican,0.0,0.0
89,Osprey,0.0,0.0
90,Sharp-shinned/Cooper's Hawk,0.0,0.0
91,Bald Eagle,0.0,0.0
92,Broad-winged Hawk,0.0,0.0
93,Belted Kingfisher,0.0,0.0
94,woodpecker sp.,0.0,0.0
95,American Kestrel,0.0,0.0
96,Prairie Falcon,0.0,0.0
97,diurnal raptor sp.,0.0,0.0
98,Eastern Phoebe,0.0,0.0
99,Woodhouse's Scrub-Jay,0.0,0.0
100,Black-billed Magpie,0.0,0.0
101,Tree Swallow,0.0,0.0
102,swallow sp.,0.0,0.0
103,Ruby-crowned Kinglet,0.0,0.0
104,Golden-crowned Kinglet,0.0,0.0
105,Ruby-crowned/Golden-crowned Kinglet,0.0,0.0
106,Brown Creeper,0.0,0.0
107,passerine sp.,0.0,0.0
