Rank,Species,wtd_rf,rfpc
1,Black Redstart,0.5555555444444444,100.0
2,Northern Wheatear,0.5555555444444444,100.0
3,Eurasian Crag-Martin,0.5555555444444444,100.0
4,Yellow-billed Chough,0.44461112222222215,80.03000360060007
5,House Sparrow,0.4446111,80.0299996006
6,Dunnock,0.4444444333333333,79.99999959999998
7,Eurasian Magpie,0.3334999888888889,60.02999920059998
8,Red-billed Chough,0.3333333333333333,60.00000120000002
9,Eurasian Linnet,0.3333333222222222,59.999999199999976
10,Water Pipit,0.2223889,40.03000280060006
11,Gray Wagtail,0.2222222222222222,40.00000080000001
12,Mistle Thrush,0.2222222111111111,39.99999879999997
13,Common Swift,0.2222222111111111,39.99999879999997
14,Western House-Martin,0.2222222111111111,39.99999879999997
15,Tree Pipit,0.2222222111111111,39.99999879999997
16,Carrion Crow,0.2222222111111111,39.99999879999997
17,Eurasian Griffon,0.2222222111111111,39.99999879999997
18,Whinchat,0.1111111111111111,20.000000400000005
19,Yellowhammer,0.1111111111111111,20.000000400000005
20,wheatear sp.,0.1111111111111111,20.000000400000005
21,Eurasian Blackbird,0.1111111111111111,20.000000400000005
22,Golden Eagle,0.1111111111111111,20.000000400000005
23,Common Buzzard,0.11111109999999999,19.999998399999967
24,Common Chaffinch,0.11111109999999999,19.999998399999967
25,Citril Finch,0.11111109999999999,19.999998399999967
26,Eurasian Kestrel,0.11111109999999999,19.999998399999967
27,White Wagtail,0.11111109999999999,19.999998399999967
28,Coal Tit,0.11111109999999999,19.999998399999967
29,passerine sp.,0.00016666666666666666,0.03000000060000001
30,White-winged Snowfinch,0.0,0.0
31,Red Crossbill,0.0,0.0
32,Alpine Accentor,0.0,0.0
33,Rock Pigeon,0.0,0.0
34,European Robin,0.0,0.0
35,Fieldfare,0.0,0.0
36,Redwing,0.0,0.0
37,Song Thrush,0.0,0.0
38,White-throated Dipper,0.0,0.0
39,Barn Swallow,0.0,0.0
40,Eurasian Skylark,0.0,0.0
41,Great Tit,0.0,0.0
42,Common Raven,0.0,0.0
43,crow sp.,0.0,0.0
44,Great Spotted Woodpecker,0.0,0.0
45,Common Hoopoe,0.0,0.0
46,European Honey-buzzard,0.0,0.0
47,Bearded Vulture,0.0,0.0
48,Gray Heron,0.0,0.0
49,European Starling,0.0,0.0
