Rank,Species,wtd_rf,rfpc
1,Magpie Tanager,0.5461138378962536,100.0
2,Peruvian Tyrannulet,0.5317002945244956,97.36070716917155
3,Blue-necked Tanager,0.5201772348703171,95.25069660826581
4,Versicolored Barbet,0.4610951051873198,84.43204936237397
5,Tropical Parula,0.4596585014409221,84.16898996949504
6,Blackish Antbird,0.42507205244956786,77.83579593716864
7,Slate-throated Redstart,0.41210374697406343,75.4611435157136
8,Tropical Kingbird,0.4092219025936599,74.93344321214595
9,Yellow-browed Sparrow,0.4063400479827089,74.40574103524222
10,Bay-headed Tanager,0.40490561729106633,74.14307955477722
11,Yungas Manakin,0.4048991317002882,74.14189196524403
12,Long-tailed Tyrant,0.3933717537463977,72.03109067181839
13,Scarlet-banded Barbet,0.39193083040345816,71.76724030895444
14,Southern House Wren,0.390509370317003,71.50695390201574
15,Thrush-like Wren,0.3904899076368877,71.50339005163057
16,Chestnut-tipped Toucanet,0.38472622680115276,70.44799089567111
17,Fork-tailed Woodnymph,0.3760850191642652,68.8656820367388
18,Smooth-billed Ani,0.37175791902017286,68.07333805205583
19,Plumbeous Pigeon,0.36888040201729105,67.54643014326402
20,Buff-throated Saltator,0.35590779106628245,65.17098933755548
21,Bronze-green Euphonia,0.35446685000000006,64.90713572933467
22,Common Squirrel-Cuckoo,0.35158501743515846,64.37943758933827
23,Blue-gray Tanager,0.35014409193083573,64.11558683069909
24,Swallow-tailed Kite,0.34005763904899133,62.26863621675758
25,Lined Antshrike,0.33717578876080684,61.7409348314043
26,Palm Tanager,0.33573486657060514,61.47708467962049
27,Social Flycatcher,0.33434798141210376,61.22312935707382
28,Bananaquit,0.3314164239193083,60.68632598580449
29,Paradise Tanager,0.32565274149855905,59.63092653960986
30,Golden Tanager,0.32132563602305475,58.83858157868135
31,Silver-beaked Tanager,0.3198890478386167,58.57552503538406
32,Gilded Barbet,0.319884727665706,58.574733959858975
33,Blue-winged Mountain Tanager,0.3083573495677233,56.46393264004832
34,Yellow-rumped Cacique,0.30691642766570604,56.20008254103453
35,Blue-rumped Manakin,0.3025936632564841,55.408532481458295
36,Turkey Vulture,0.2997118181556196,54.88083204596557
37,Gray-tailed Piha,0.29682997334293953,54.35313166324289
38,Masked Tityra,0.2939481288184438,53.82543133329021
39,Yellow-breasted Antwren,0.28818443948126804,52.770030620614875
40,Rufous-breasted Antthrush,0.288184431556196,52.770029169439034
41,Brown-capped Vireo,0.2737752155619596,50.131528733386396
42,Blue-browed Tanager,0.2737752115273775,50.13152799460598
43,Orange-bellied Euphonia,0.26945244956772335,49.33997838357501
44,Ferruginous Pygmy-Owl,0.2608069131123919,47.756876866016704
45,Streaked Xenops,0.2593703177233429,47.49381900346866
46,Black-faced Dacnis,0.25216570144092215,46.17456726830398
47,Scarlet-breasted Fruiteater,0.25216138170028823,46.17377627193397
48,Green-and-gold Tanager,0.24784294466858786,45.38301860713354
49,White-winged Tanager,0.24352016844380403,44.59146638398606
50,White-crowned Tapaculo,0.24207925100864558,44.327617102907745
51,Collared Trogon,0.23919309005763686,43.79912638344039
52,Yellow-tufted Woodpecker,0.23775216181556189,43.53527512348592
53,Cordillera Azul Antbird,0.2363112404899135,43.27142513001219
54,Common Tody-Flycatcher,0.23487680187319884,43.00876219837134
55,Plain Antvireo,0.23199279783861662,42.48066643619619
56,Rose-fronted Parakeet,0.22911310893371759,41.95336082607061
57,Foothill Screech-Owl,0.22622478674351584,41.4244743577606
58,Peruvian Racket-tail,0.22190201268011522,40.632922530388335
59,Black Vulture,0.2204740613832853,40.37144750490084
60,Ruddy Pigeon,0.22046109596541782,40.36907338123509
61,Olive-chested Flycatcher,0.21757924927953887,39.84137265550719
62,Streaked Flycatcher,0.21619236440922185,39.58741738573055
63,Slaty-capped Flycatcher,0.21328890749279536,39.05575956735129
64,Lineated Woodpecker,0.210378957204611,38.52291273464804
65,Chestnut-capped Brushfinch,0.20898342521613833,38.26737407372552
66,Dark-breasted Spinetail,0.20893372146974065,38.25827272104983
67,Orange-eared Tanager,0.20461527262247836,37.467512892678165
68,Short-tailed Antthrush,0.20461095014409214,37.46672139499284
69,Western Wood-Pewee,0.19452449625360232,35.61977059635624
70,Blue Dacnis,0.1931267984149856,35.36383534227058
71,Scaled Pigeon,0.1916621036023054,35.09563213791259
72,Buff-throated Tody-Tyrant,0.19166210201729109,35.09563184767743
73,Golden-naped Tanager,0.1916426527377521,35.09207045109867
74,Golden-rumped Euphonia,0.18588545446685875,34.03785833058708
75,Blue-naped Chlorophonia,0.18588328025936604,34.03746020709307
76,White-winged Becard,0.1844380456772334,33.77282040457497
77,Golden-olive Woodpecker,0.18011527780979833,32.98126971175838
78,Three-striped Warbler,0.1787154198847262,32.724938919910166
79,Scaled Antpitta,0.17584005547550435,32.19842517686012
80,Gray-breasted Wood-Wren,0.1729344451008645,31.66637303442899
81,Yellow-throated Spadebill,0.17148919870317003,31.40173106833968
82,Golden Grosbeak,0.17146974221902017,31.39816835251017
83,Green-backed Becard,0.16858789625360232,30.87046775870736
