Rank,Species,wtd_rf,rfpc
1,Red-necked Stint,0.9166666666666666,100.0
2,Gray-tailed Tattler,0.9166666666666666,100.0
3,Sanderling,0.9166666666666666,100.0
4,Greater Sand-Plover,0.9166666666666666,100.0
5,Ruddy Turnstone,0.9166666666666666,100.0
6,Common Greenshank,0.9166666666666666,100.0
7,Bar-tailed Godwit,0.9166666666666666,100.0
8,Little Tern,0.8333333416666666,90.90909181818182
9,Pacific Golden-Plover,0.8333333416666666,90.90909181818182
10,Black-bellied Plover,0.8333333416666666,90.90909181818182
11,Eurasian Whimbrel,0.8333333416666666,90.90909181818182
12,Great Knot,0.8333333333333334,90.90909090909092
13,Great Crested Tern,0.666666675,72.72727363636365
14,Black Noddy,0.6666666666666666,72.72727272727273
15,Brown Booby,0.5833333416666666,63.63636454545454
16,Siberian/Tibetan Sand-Plover,0.5833333416666666,63.63636454545454
17,Sooty Tern,0.5833333416666666,63.63636454545454
18,Curlew Sandpiper,0.583333325,63.63636272727273
19,Brown Noddy,0.5,54.545454545454554
20,Lesser Noddy,0.4166666666666667,45.45454545454546
21,Red Knot,0.41666665833333333,45.454544545454546
22,Pacific Reef-Heron,0.3333333333333333,36.36363636363637
23,Terek Sandpiper,0.3333333333333333,36.36363636363637
24,Little Stint,0.2500000083333333,27.272728181818177
25,Sharp-tailed Sandpiper,0.2500000083333333,27.272728181818177
26,Red-footed Booby,0.166666675,18.18181909090909
27,Siberian Sand-Plover,0.16666666666666666,18.181818181818183
28,Lesser Frigatebird,0.16666666666666666,18.181818181818183
29,Asian Dowitcher,0.08333333333333333,9.090909090909092
30,Oriental Pratincole,0.08333333333333333,9.090909090909092
31,Common Tern,0.08333333333333333,9.090909090909092
32,Tibetan Sand-Plover,0.08333333333333333,9.090909090909092
33,Masked Booby,0.08333333333333333,9.090909090909092
34,Far Eastern Curlew,0.08333333333333333,9.090909090909092
35,Great Egret,0.08333333333333333,9.090909090909092
36,Barn Swallow,0.08333333333333333,9.090909090909092
