Rank,Species,wtd-rf,rfpc
1,Northern Cardinal,0.8888888888888888,100.0
2,Carolina Wren,0.7777777777777778,87.50000000000001
3,Little Blue Heron,0.5555555555555556,62.500000000000014
4,Great Blue Heron,0.5555555555555556,62.500000000000014
5,American Crow,0.4444444444444444,50.0
6,Pileated Woodpecker,0.4444444444444444,50.0
7,Wood Duck,0.4444444444444444,50.0
8,Great Egret,0.4444444444444444,50.0
9,White-eyed Vireo,0.3333333333333333,37.5
10,Tufted Titmouse,0.3333333333333333,37.5
11,Carolina Chickadee,0.3333333333333333,37.5
12,Red-bellied Woodpecker,0.3333333333333333,37.5
13,Blue Jay,0.3333333333333333,37.5
14,Pine Warbler,0.3333333333333333,37.5
15,Snowy Egret,0.3333333333333333,37.5
16,Yellow-crowned Night Heron,0.2222222222222222,25.0
17,Summer Tanager,0.2222222222222222,25.0
18,Hooded Warbler,0.2222222222222222,25.0
19,Downy Woodpecker,0.2222222222222222,25.0
20,White Ibis,0.2222222222222222,25.0
21,Ruby-throated Hummingbird,0.2222222222222222,25.0
22,Black Vulture,0.2222222222222222,25.0
23,Turkey Vulture,0.2222222222222222,25.0
24,Blue-gray Gnatcatcher,0.2222222222222222,25.0
25,Hairy Woodpecker,0.1111111111111111,12.5
26,Black-bellied Whistling-Duck,0.1111111111111111,12.5
27,Yellow-throated Vireo,0.1111111111111111,12.5
28,Eastern Kingbird,0.1111111111111111,12.5
29,Belted Kingfisher,0.1111111111111111,12.5
30,Red-eyed Vireo,0.1111111111111111,12.5
31,Northern Mockingbird,0.1111111111111111,12.5
32,Eastern Bluebird,0.1111111111111111,12.5
33,Red-headed Woodpecker,0.1111111111111111,12.5
34,Great Crested Flycatcher,0.1111111111111111,12.5
35,Tricolored Heron,0.1111111111111111,12.5
36,Green Heron,0.1111111111111111,12.5
37,Mississippi Kite,0.1111111111111111,12.5
38,Red-shouldered Hawk,0.0,0.0
39,Grasshopper Sparrow,0.0,0.0
40,Song Sparrow,0.0,0.0
41,White-throated Sparrow,0.0,0.0
42,Dark-eyed Junco,0.0,0.0
43,Chipping Sparrow,0.0,0.0
44,American Goldfinch,0.0,0.0
45,Swamp Sparrow,0.0,0.0
46,Pine Siskin,0.0,0.0
47,House Sparrow,0.0,0.0
48,Cedar Waxwing,0.0,0.0
49,American Robin,0.0,0.0
50,Hermit Thrush,0.0,0.0
51,Lincoln's Sparrow,0.0,0.0
52,Louisiana Waterthrush,0.0,0.0
53,Brown-headed Cowbird,0.0,0.0
54,Mourning Dove,0.0,0.0
55,Black-and-white Warbler,0.0,0.0
56,Orange-crowned Warbler,0.0,0.0
57,Common Yellowthroat,0.0,0.0
58,Green-winged Teal,0.0,0.0
59,Northern Parula,0.0,0.0
60,Mallard,0.0,0.0
61,Yellow-rumped Warbler,0.0,0.0
62,American Wigeon,0.0,0.0
63,Scarlet Tanager,0.0,0.0
64,Blue-winged Teal,0.0,0.0
65,Indigo Bunting,0.0,0.0
66,Ring-necked Duck,0.0,0.0
67,Yellow-billed Cuckoo,0.0,0.0
68,Brown Thrasher,0.0,0.0
69,Red-tailed Hawk,0.0,0.0
70,Barred Owl,0.0,0.0
71,Broad-winged Hawk,0.0,0.0
72,Yellow-bellied Sapsucker,0.0,0.0
73,Bald Eagle,0.0,0.0
74,Osprey,0.0,0.0
75,American White Pelican,0.0,0.0
76,Western Cattle-Egret,0.0,0.0
77,Northern Flicker,0.0,0.0
78,Eastern Wood-Pewee,0.0,0.0
79,Eastern Phoebe,0.0,0.0
80,Double-crested Cormorant,0.0,0.0
81,Anhinga,0.0,0.0
82,Blue-headed Vireo,0.0,0.0
83,Wood Stork,0.0,0.0
84,Pied-billed Grebe,0.0,0.0
85,Forster's Tern,0.0,0.0
86,Solitary Sandpiper,0.0,0.0
87,Purple Gallinule,0.0,0.0
88,Ruby-crowned Kinglet,0.0,0.0
89,Golden-crowned Kinglet,0.0,0.0
90,White-breasted Nuthatch,0.0,0.0
91,Brown-headed Nuthatch,0.0,0.0
92,Brown Creeper,0.0,0.0
93,American Coot,0.0,0.0
94,Northern House Wren,0.0,0.0
95,passerine sp.,0.0,0.0
