Rank,Species,wtd_rf,rfpc
1,Russet-backed Oropendola,0.47749196434887464,100.0
2,Hoatzin,0.4473472658762057,93.68686790074565
3,Speckled Chachalaca,0.4312700980305466,90.31986509315233
4,Silver-beaked Tanager,0.39871382672829575,83.50168306434149
5,Social Flycatcher,0.39389067186495186,82.49158127761909
6,Yellow-rumped Cacique,0.3689710513665595,77.27272476086625
7,Chestnut-fronted Macaw,0.34405928557073956,72.05551323568582
8,Blue-throated Piping-Guan,0.32837620409967844,68.77104299492541
9,Violaceous Jay,0.3042604507234727,63.72053844683507
10,Great Kiskadee,0.29622185691318337,62.03703497233136
11,Blue-headed Parrot,0.295819936454984,61.95286173210784
12,Blue-gray Tanager,0.29501608171221866,61.78451235603792
13,Black-billed Thrush,0.2905948559887459,60.8585856277208
14,Purplish Jay,0.2853697846463022,59.76431143410817
15,Tropical Kingbird,0.2789389071543407,58.41750814272066
16,Purple Gallinule,0.2785369852491961,58.33333459946688
17,Cinereous Tinamou,0.27130225317524115,56.818181965679514
18,Sapphire-spangled Emerald,0.264469453778135,55.38720513103821
19,Bluish-fronted Jacamar,0.2564387004823151,53.705343676726415
20,Roadside Hawk,0.2532154346864952,53.030302830706056
21,White-lined Antbird,0.2491961303054662,52.188549527797626
22,White-eyed Parakeet,0.2447749169614148,51.26262539207309
23,Black-fronted Nunbird,0.23995478918810284,50.2531575615757
24,Limpkin,0.23954983954983922,50.1683499274167
25,Gray-cowled Wood-Rail,0.23674417174437296,49.58076562968047
26,Gray-breasted Sabrewing,0.23553054529742765,49.32659874572039
27,Red-capped Cardinal,0.23352089815112542,48.90572315066349
28,Southern House Wren,0.23151125518488744,48.48484843102744
29,Pale-legged Hornero,0.22950461696141478,48.064602987481805
30,Undulated Tinamou,0.22668810281350477,47.47474716619051
31,Long-tailed Tyrant,0.22347267897909961,46.80134864339237
32,White-necked Jacobin,0.22065916768488741,46.212121702568595
33,Gray-capped Flycatcher,0.21503516692122185,45.034300674452524
34,Gray-fronted Dove,0.21463022178456595,44.94949398305446
35,Crested Oropendola,0.2098070607717042,43.939390908453234
36,Yellow-tufted Woodpecker,0.2086091169614148,43.688508401577344
37,Golden-tailed Sapphire,0.20618972532154342,43.181820997283424
38,Smooth-billed Ani,0.2009646283762058,42.08754144171797
39,Black-tailed Trogon,0.19976789176045015,41.83691175470584
40,Boat-billed Flycatcher,0.19413485024115754,40.657197342763006
41,Dusky-headed Parakeet,0.19333099831189715,40.4888485559187
42,Southern Rough-winged Swallow,0.1901125381028939,39.81481413245106
43,White-winged Swallow,0.18851748090836015,39.4807651193522
44,Buff-throated Saltator,0.18850481507234726,39.47811254361092
45,Yellow-browed Sparrow,0.18532134139871378,38.8114052665629
46,Capped Heron,0.18368951241961412,38.46965522657534
47,Black-capped Tinamou,0.1820739539389067,38.13131267814933
48,Blue-crowned Trogon,0.17926346856913186,37.54271944944289
49,Bamboo Antshrike,0.17926044541800643,37.54208631813364
50,White-banded Swallow,0.1676093251205788,35.10202006208355
51,Bananaquit,0.16680064204180065,34.932659499151164
52,Plain-winged Antshrike,0.1655948501607717,34.68013338959177
53,Palm Tanager,0.16399859646302253,34.345833795686374
54,White-bearded Hermit,0.16278436475080385,34.0915401524678
55,Spix's Guan,0.16278134666398714,34.09090808176462
56,Moustached Wren,0.15715433239549842,32.91245594254131
57,Rufous-crested Coquette,0.15635048167202573,32.744107408222234
58,Swallow-winged Puffbird,0.15595156824758846,32.66056392388712
59,White-browed Antbird,0.15273795008038588,31.987543557652305
60,Turkey Vulture,0.1515273404340836,31.73400847503513
61,Goeldi's Antbird,0.15073131250000005,31.567298248786813
62,White-collared Swift,0.15035409819131834,31.48829915836314
63,Plumbeous Kite,0.15032154975884243,31.48148261800098
64,Manu Antbird,0.1459003230707396,30.555555687663684
65,Bluish-slate Antshrike,0.14067825317524113,29.461910079905763
66,Common Squirrel-Cuckoo,0.13947246684083603,29.209385131962534
67,Black-throated Antbird,0.13787862037781354,28.875589679468185
68,Plain-crowned Spinetail,0.13745980442122185,28.787878055428017
69,Great Antshrike,0.13706089533762061,28.7043354801838
70,Black Vulture,0.1370608904340836,28.70433445324777
71,Short-crested Flycatcher,0.13665594646302254,28.619528005957452
72,Crimson-crested Woodpecker,0.13665594638263667,28.619527989122428
73,Magpie Tanager,0.13585812451768486,28.452442064223206
74,Gould's Jewelfront,0.1338683786977492,28.035734356346076
75,Chestnut-tailed Antbird,0.13344051832797427,27.94612858248591
76,Tawny-bellied Screech-Owl,0.13063485301446948,27.358544806635205
77,Yellow-breasted Warbling-Antbird,0.13063484758842445,27.358543670271573
78,Greater Yellow-headed Vulture,0.12942424236334404,27.105009513580324
79,Chestnut-eared Aracari,0.12862640663183278,26.937920684640716
80,Amazon Kingfisher,0.1266252019694534,26.51881317879854
81,Blue-tailed Emerald,0.12460109059485533,26.09490837500604
82,Piratic Flycatcher,0.12262942230707397,25.68198660144907
83,Swallow Tanager,0.12258842415594856,25.673400456720685
