Rank,Species,wtd_rf,rfpc
1,Water Pipit,0.7777777777777778,100.0
2,Northern Wheatear,0.6666666666666666,85.71428571428571
3,Yellow-billed Chough,0.5557222222222222,71.45
4,Eurasian Kestrel,0.4444444444444444,57.14285714285714
5,Common Swift,0.3333333333333333,42.857142857142854
6,Citril Finch,0.3333333333333333,42.857142857142854
7,Eurasian Griffon,0.3333333333333333,42.857142857142854
8,Eurasian Linnet,0.3333333333333333,42.857142857142854
9,Red-billed Chough,0.3333333333333333,42.857142857142854
10,White Wagtail,0.22238888888888889,28.59285714285714
11,House Sparrow,0.2222222222222222,28.57142857142857
12,Black Redstart,0.2222222222222222,28.57142857142857
13,Gray Wagtail,0.2222222222222222,28.57142857142857
14,Common Raven,0.2222222222222222,28.57142857142857
15,Alpine Accentor,0.1111111111111111,14.285714285714285
16,Dunnock,0.1111111111111111,14.285714285714285
17,Turdus sp.,0.1111111111111111,14.285714285714285
18,Rock Sparrow,0.1111111111111111,14.285714285714285
19,Tree Pipit,0.1111111111111111,14.285714285714285
20,Red Crossbill,0.1111111111111111,14.285714285714285
21,Whinchat,0.1111111111111111,14.285714285714285
22,Eurasian Siskin,0.1111111111111111,14.285714285714285
23,Golden Eagle,0.1111111111111111,14.285714285714285
24,Mistle Thrush,0.1111111111111111,14.285714285714285
25,Black Kite,0.1111111111111111,14.285714285714285
26,Crested Lark,0.1111111111111111,14.285714285714285
27,Great Spotted Woodpecker,0.1111111111111111,14.285714285714285
28,Carrion Crow,0.1111111111111111,14.285714285714285
29,Eurasian Blackbird,0.0,0.0
30,White-winged Snowfinch,0.0,0.0
31,Bearded Vulture,0.0,0.0
32,European Goldfinch,0.0,0.0
33,Eurasian Sparrowhawk,0.0,0.0
34,Common Chaffinch,0.0,0.0
35,Red Kite,0.0,0.0
36,Eurasian Magpie,0.0,0.0
37,Eurasian Tree Sparrow,0.0,0.0
38,Eurasian Collared-Dove,0.0,0.0
39,Coal Tit,0.0,0.0
40,Eurasian Crag-Martin,0.0,0.0
41,Western House-Martin,0.0,0.0
42,White-throated Dipper,0.0,0.0
43,Common Redstart,0.0,0.0
44,European Pied Flycatcher,0.0,0.0
45,Common Nightingale,0.0,0.0
46,European Robin,0.0,0.0
47,Common Wood-Pigeon,0.0,0.0
