Rank,Species,wtd_rf,rfpc
1,Gray Tinamou,1.0,100.0
2,Gray Antwren,1.0,100.0
3,Cinereous Antshrike,1.0,100.0
4,Plain-throated Antwren,1.0,100.0
5,Spot-winged Antshrike,1.0,100.0
6,White-eyed Stipplethroat,1.0,100.0
7,Ornate Stipplethroat,1.0,100.0
8,White-flanked Antwren,1.0,100.0
9,Long-winged Antwren,1.0,100.0
10,Dot-winged Antwren,1.0,100.0
11,Black-banded Woodcreeper,1.0,100.0
12,Tapajos Fire-eye,1.0,100.0
13,Rufous-faced Antbird,1.0,100.0
14,Bare-eyed Antbird,1.0,100.0
15,Black-spotted Bare-eye,1.0,100.0
16,Black-breasted Gnateater,1.0,100.0
17,Rufous-capped Antthrush,1.0,100.0
18,White-chinned Woodcreeper,1.0,100.0
19,Fasciated Antshrike,1.0,100.0
20,Red-and-green Macaw,1.0,100.0
21,Scarlet Macaw,1.0,100.0
22,Chestnut-fronted Macaw,1.0,100.0
23,Red-necked Aracari,1.0,100.0
24,White-throated Toucan,1.0,100.0
25,Channel-billed Toucan,1.0,100.0
26,Yellow-tufted Woodpecker,1.0,100.0
27,Red-stained Woodpecker,1.0,100.0
28,Yellow-throated Woodpecker,1.0,100.0
29,Barred Forest-Falcon,1.0,100.0
30,Red-throated Caracara,1.0,100.0
31,Black Caracara,1.0,100.0
32,Bat Falcon,1.0,100.0
33,Blue-headed Parrot,1.0,100.0
34,Yellow-crowned Amazon,1.0,100.0
35,Crimson-bellied Parakeet,1.0,100.0
36,Santarem Parakeet,1.0,100.0
37,Blue-and-yellow Macaw,1.0,100.0
38,Plain-brown Woodcreeper,1.0,100.0
39,Spix's Woodcreeper,1.0,100.0
40,Lettered Aracari,1.0,100.0
41,Long-billed/Chattering Gnatwren,1.0,100.0
42,Grayish Mourner,1.0,100.0
43,Rusty-margined Flycatcher,1.0,100.0
44,Gray-chested Greenlet,1.0,100.0
45,White-winged Swallow,1.0,100.0
46,Gray-breasted Martin,1.0,100.0
47,Southern Rough-winged Swallow,1.0,100.0
48,White-banded Swallow,1.0,100.0
49,Crested Oropendola,1.0,100.0
50,Buff-throated Woodcreeper,1.0,100.0
51,Olive Oropendola,1.0,100.0
52,Yellow-rumped Cacique,1.0,100.0
53,Giant Cowbird,1.0,100.0
54,Rose-breasted Chat,1.0,100.0
55,White-shouldered Tanager,1.0,100.0
56,Palm Tanager,1.0,100.0
57,Swallow Tanager,1.0,100.0
58,Large-headed Flatbill,1.0,100.0
59,Drab Water Tyrant,1.0,100.0
60,Yellow-margined Flatbill,1.0,100.0
61,Helmeted Pygmy-Tyrant,1.0,100.0
62,Slender-billed Xenops,1.0,100.0
63,Dusky-cheeked Foliage-gleaner,1.0,100.0
64,Rufous-rumped Foliage-gleaner,1.0,100.0
65,Chestnut-crowned Foliage-gleaner,1.0,100.0
66,Ochre-throated Foliage-gleaner,1.0,100.0
67,Para Foliage-gleaner,1.0,100.0
68,Dwarf Tyrant-Manakin,1.0,100.0
69,Red-headed Manakin,1.0,100.0
70,Spangled Cotinga,1.0,100.0
71,Screaming Piha,1.0,100.0
72,Bare-necked Fruitcrow,1.0,100.0
73,Masked Tityra,1.0,100.0
74,Cinereous Mourner,1.0,100.0
75,White-crested Spadebill,1.0,100.0
76,Sepia-capped Flycatcher,1.0,100.0
77,Chestnut-eared Aracari,1.0,100.0
78,Striated Antbird,1.0,100.0
79,Black-girdled Barbet,1.0,100.0
80,Gray-fronted Dove,1.0,100.0
81,Amazon Kingfisher,1.0,100.0
82,Ringed Kingfisher,1.0,100.0
83,Little Cuckoo,1.0,100.0
84,Common Squirrel-Cuckoo,1.0,100.0
85,Black-tailed Trogon,1.0,100.0
86,Black-bellied Cuckoo,1.0,100.0
87,Short-tailed Nighthawk,1.0,100.0
88,Blackish Nightjar,1.0,100.0
89,Gray-rumped Swift,1.0,100.0
90,Short-tailed Swift,1.0,100.0
91,Greater Yellow-headed Vulture,1.0,100.0
92,Striated Heron,1.0,100.0
93,Snowy Egret,1.0,100.0
94,Capped Heron,1.0,100.0
95,Long-tailed Hermit,1.0,100.0
96,Black-eared Fairy,1.0,100.0
97,Rufescent Tiger-Heron,1.0,100.0
98,Green Ibis,1.0,100.0
99,Wood Stork,1.0,100.0
100,Great Jacamar,1.0,100.0
101,Sunbittern,1.0,100.0
102,Fork-tailed Woodnymph,1.0,100.0
103,White-chinned Sapphire,1.0,100.0
104,Pheasant Cuckoo,1.0,100.0
105,Common Pauraque,1.0,100.0
106,Black-fronted Nunbird,1.0,100.0
107,Ruddy Pigeon,1.0,100.0
108,Plumbeous Pigeon,1.0,100.0
109,Razor-billed Curassow,1.0,100.0
110,Green Kingfisher,1.0,100.0
111,Green-and-rufous Kingfisher,1.0,100.0
112,Red-throated Piping-Guan,1.0,100.0
113,Swallow-winged Puffbird,1.0,100.0
114,Scaled Pigeon,1.0,100.0
115,Rufous-tailed Jacamar,1.0,100.0
116,Snow-capped Manakin,0.0015,0.15
117,Ruddy Spinetail,0.0015,0.15
118,Gould's Jewelfront,0.0015,0.15
119,White-thighed Swallow,0.0015,0.15
120,Flame-crowned Manakin,0.0015,0.15
121,Fiery-capped Manakin,0.0015,0.15
122,Blue-gray Tanager,0.0015,0.15
123,White-winged Shrike-Tanager,0.0015,0.15
124,Amethyst Woodstar,0.0015,0.15
125,Rusty-backed Spinetail,0.0015,0.15
126,Long-billed Starthroat,0.0015,0.15
127,Reddish Hermit,0.0015,0.15
128,Gray-breasted Sabrewing,0.0015,0.15
