Rank,Species,wtd_rf,rfpc
1,Rufous-crested Coquette,0.6076388916666668,100.0
2,Golden-tailed Sapphire,0.535590271875,88.14285576848977
3,Gray-breasted Sabrewing,0.5321180555555555,87.571428171102
4,Fork-tailed Woodnymph,0.5243055618923611,86.28571493412241
5,White-necked Jacobin,0.524305556423611,86.2857140341224
6,Black-billed Thrush,0.5078125003472223,83.5714282465306
7,Blue-gray Tanager,0.48350694210069456,79.57142782195919
8,Palm Tanager,0.47569444409722217,78.28571387069385
9,Sapphire-spangled Emerald,0.4392361072916666,72.28571332669385
10,Great-billed Hermit,0.4053910526041668,66.71578435215642
11,Cobalt-winged Parakeet,0.38020833272569443,62.57142818538773
12,Black-bellied Tanager,0.3654513910590278,60.142857225061206
13,Black-throated Mango,0.3550438375,58.43007127574823
14,Social Flycatcher,0.3472222214409723,57.142856753061224
15,Southern House Wren,0.34635416901041677,57.00000012514286
16,Boat-billed Flycatcher,0.34548611032986115,56.85714246865305
17,Blue-headed Parrot,0.32812499626736114,53.999999138857135
18,Great Kiskadee,0.32638888888888895,53.71428546873469
19,Paradise Tanager,0.3237847229166666,53.28571415640814
20,Sparkling Violetear,0.3229166619791667,53.14285612848979
21,Purple-throated Euphonia,0.3177083371527778,52.2857146752653
22,Russet-backed Oropendola,0.3151041612847223,51.85714173436735
23,Tropical Kingbird,0.3055555518229166,50.285713441550996
24,Blue-tailed Emerald,0.3029513905381944,49.85714290065304
25,Brown Violetear,0.29255946258680554,48.146928479899735
26,Blue-necked Tanager,0.28472222317708334,46.85714280008162
27,White-chinned Sapphire,0.28211805156249997,46.428570559183655
28,Violet-headed Hummingbird,0.2786458307291667,45.857142218938776
29,Bananaquit,0.27083333428819445,44.57142852481631
30,Turkey Vulture,0.26475694852430554,43.57142904367345
31,Black-throated Hermit,0.25694444479166667,42.285714149551005
32,Black Vulture,0.25347222282986115,41.71428562359183
33,Common Squirrel-Cuckoo,0.24826389123263892,40.857143056081625
34,Ruddy Ground Dove,0.24565972100694441,40.428571043755085
35,Fork-tailed Palm Swift,0.24305556024305558,40.00000058857142
36,Smooth-billed Ani,0.2352521697048611,38.71578546587068
37,Speckled Chachalaca,0.23351995685763885,38.43071272431672
38,Olivaceous Woodcreeper,0.2335069393229167,38.42857041004081
39,Gilded Barbet,0.2317708302951389,38.14285646848979
40,Thick-billed Euphonia,0.22656249453125,37.2857132152653
41,Yellow-rumped Cacique,0.22048611276041663,36.28571439126529
42,Streaked Flycatcher,0.2161458359375,35.57142883738774
43,Black-faced Dacnis,0.21527777664930559,35.42857108089795
44,Turquoise Tanager,0.2109375009548611,34.714285712734686
45,Rufous-fronted Thornbird,0.19704860885416664,32.428570908897946
46,Green Honeycreeper,0.18750000182291668,30.857143016081622
47,Common Tody-Flycatcher,0.1840277767361111,30.285713975836725
48,Buff-throated Saltator,0.18402777456597225,30.285713618693876
49,Swallow-tailed Kite,0.18232551510416664,30.00557034854595
50,Roadside Hawk,0.18145487161458335,29.86228730634382
51,Mishana Tyrannulet,0.1814327278645833,29.858643077789047
52,Blue-black Grassquit,0.1754071190104167,28.867000025179422
53,Yellow-crowned Tyrannulet,0.17361111345486113,28.571428826530603
54,Long-billed Starthroat,0.16753471875000003,27.571427873959188
55,Yellow-tufted Woodpecker,0.16579860894097226,27.285713803836735
56,Blue Ground Dove,0.16319444609375,26.85714300579591
57,Swainson's Thrush,0.1623263897569444,26.714285735020393
58,Lafresnaye's Piculet,0.16145833107638893,26.571428078530612
59,Thrush-like Wren,0.15798610911458333,25.999999552571424
60,Purple Honeycreeper,0.15711805876736115,25.857143267510203
61,Peruvian Warbling-Antbird,0.15190971640625003,24.999998928571433
62,Blue Dacnis,0.15104167031250001,24.857143343510195
63,White-tipped Dove,0.14409723012152775,23.714286905877536
64,Orange-bellied Euphonia,0.14326562335069448,23.57742819221747
65,Yellow-bellied Elaenia,0.14325260217013888,23.575285277941546
66,White-lined Tanager,0.14149304991319447,23.285713250693878
67,Scaly-breasted Wren,0.13628472942708333,22.42857251175509
68,Pale-breasted Thrush,0.13548437239583333,22.296856612357217
69,Many-spotted Hummingbird,0.1345486083333333,22.142856584489785
70,Rufous-collared Sparrow,0.1337482690972222,22.011143613663332
71,Crested Oropendola,0.1336805513888889,21.999999213714286
72,Band-bellied Owl,0.1311011246527778,21.575499272797714
73,Blue-and-white Swallow,0.1276406129340278,21.00599791825829
74,Chivi Vireo,0.12673611137152782,20.857142804653062
75,Piratic Flycatcher,0.12586805442708332,20.714285433877542
76,Gray-capped Flycatcher,0.12239583394097225,20.14285715077551
77,Chestnut-eared Aracari,0.12068446197916666,19.861214223491586
78,Amethyst Woodstar,0.11892360989583335,19.571428281959182
79,White-winged Becard,0.1137465209201389,18.719427357282616
80,Bay-headed Tanager,0.11287196423611112,18.575500315083424
81,White-eyed Parakeet,0.11111110998263889,18.285714016408157
82,Little Woodpecker,0.10765060425347224,17.71621364758302
83,Ferruginous Pygmy-Owl,0.10595616770833335,17.437357806000648
84,Yellow-crested Tanager,0.10334288767361112,17.00728657939526
85,Blue-crowned Trogon,0.10333247673611111,17.005573236545946
86,Green-backed Trogon,0.10329861215277777,17.00000009371428
87,Olive-faced Flatbill,0.10158724401041669,16.718357795001793
88,Yellow-bellied Tanager,0.10070746571180557,16.5735714242351
89,Fiery-capped Manakin,0.09812803298611113,16.14907049760425
90,Dull-colored Grassquit,0.09725998289930557,16.00621425540016
91,Golden-collared Toucanet,0.09461805251736113,15.5714280002449
92,Bluish-fronted Jacamar,0.09375000130208333,15.428571572326524
93,Ochre-bellied Flycatcher,0.09288194253472228,15.285713901551027
94,Slaty-capped Flycatcher,0.09201388776041669,15.142856887918368
95,Plain-winged Antshrike,0.09028689348958333,14.858642974931913
96,Varzea Thrush,0.08680556423611113,14.285715648979586
97,Golden-headed Manakin,0.08506945381944446,14.000001478857135
98,Plumbeous Pigeon,0.08506944522569443,14.000000064571422
99,Green-and-gold Tanager,0.08421440980902778,13.85928566521469
100,Masked Tanager,0.08159722196180556,13.428571324326526
101,Rufous-breasted Hermit,0.08080729210069446,13.298571439206528
102,Black-faced Tanager,0.08075391032986111,13.289786324960973
103,Spot-winged Antbird,0.07732204600694445,12.724999513257144
104,Guira Tanager,0.07728169149305558,12.718358313287506
105,Chestnut-bellied Seed-Finch,0.0755299493923611,12.430071614605382
106,Buff-rumped Warbler,0.07468403923611112,12.290858972384642
107,Summer Tanager,0.07465277925347222,12.285714472408158
108,Broad-billed Motmot,0.07214757699652778,11.873429760007175
109,Golden-bellied Euphonia,0.07204861111111115,11.857142802938778
110,Riparian Parrotlet,0.07119227204861114,11.716213860725881
111,Short-crested Flycatcher,0.07045443229166667,11.594786518423831
112,Black-and-white Tody-Flycatcher,0.07037110355902777,11.581072989915091
113,Coraya Wren,0.07034375399305556,11.576572032792813
114,Canada Warbler,0.06945615494791667,11.430498590603431
115,Mouse-colored Tyrannulet,0.06945356050347223,11.430071619176815
116,Hauxwell's Thrush,0.06866233446180553,11.299858419772068
117,Russet-crowned Crake,0.06865451753472224,11.298571976920812
