Rank,Species,wtd_rf,rfpc
1,Brown Booby,0.8872180481203007,100.0
2,Pacific Reef-Heron,0.8872180481203007,100.0
3,Sooty Tern,0.8797105293233082,99.15381356219046
4,Red-footed Booby,0.8496353436090225,95.76398331944412
5,Lesser Frigatebird,0.8120300774436091,91.5254236727952
6,Red-tailed Tropicbird,0.7969924781954888,89.83050783108304
7,Brown Noddy,0.7894849578947368,88.98432122378198
8,Buff-banded Rail,0.7519248172932331,84.75084776355646
9,Common Sandpiper,0.7443721819548872,83.89957615627263
10,Great Crested Tern,0.7368421127819549,83.05084802355645
11,Sacred Kingfisher,0.7218045157894737,81.35593243608159
12,Nankeen Night Heron,0.6992481270676691,78.81355981758117
13,Great Frigatebird,0.6766917293233082,76.27118618213157
14,Black Noddy,0.6691842090225564,75.42499957483051
15,Ruddy Turnstone,0.6015037609022557,67.79661010916404
16,Eurasian Whimbrel,0.5714285706766917,64.40677935794312
17,Little Egret,0.5263270586466164,59.32330386670066
18,Bridled Tern,0.5112781909774435,57.627117940247054
19,Greater Sand-Plover,0.4962406105263158,55.93220421717897
20,Pacific Golden-Plover,0.47368420451127824,53.38982964952601
21,White-tailed Tropicbird,0.42857143157894734,48.30508492099971
22,Masked Booby,0.4135451165413534,46.611440943690035
23,Gray-tailed Tattler,0.41353383909774444,46.610169841999436
24,Eastern Yellow Wagtail,0.39849624135338346,44.9152541697788
25,Horsfield's Bronze-Cuckoo,0.37593985187969925,42.37288146653261
26,Oriental Cuckoo,0.3533834571428572,39.83050817006608
27,Red-necked Stint,0.33834586541353384,38.13559317581155
28,Eurasian Tree Sparrow,0.31578947293233084,35.59322013358231
29,Lesser Noddy,0.3007631616541353,33.89957658000144
30,Sanderling,0.2707105308270677,30.512288540636316
31,Sharp-tailed Sandpiper,0.24060151052631576,27.118644738580866
32,Barn Swallow,0.2406014992481203,27.11864346739443
33,Peregrine Falcon,0.2105263142857143,23.728813309393857
34,Little Curlew,0.17293233909774436,19.491526289859234
35,Siberian/Tibetan Sand-Plover,0.16541353082706767,18.64406739442689
36,Oriental Pratincole,0.15037594736842103,16.94915333237575
37,Common Greenshank,0.15037594511278193,16.949153078138462
38,Rainbow Bee-eater,0.1503759443609023,16.94915299339271
39,Australian Pratincole,0.14285714661654134,16.101695284401032
40,Island Monarch,0.127909777443609,14.416949442654408
41,Great Knot,0.12030075112781954,13.55932190318874
42,Supertramp Fantail,0.09795864736842104,11.041101742233552
43,Sahul Brush Cuckoo,0.097834584962406,11.027118437196208
44,Little Black Cormorant,0.09774436165413533,11.016949199942545
45,Japanese Leaf/Arctic/Kamchatka Leaf Warbler,0.0752782022556391,8.484746496661877
46,Oriental Plover,0.07518797293233082,8.474576581442113
47,Dark-sided Flycatcher,0.06770300751879699,7.630932177522263
48,Pied Stilt,0.06766917894736843,7.6271192961792575
49,White-winged Tern,0.06766917293233082,7.627118618213158
50,Pallas's Grasshopper Warbler,0.05263158496240602,5.932204047687445
51,Whiskered Tern,0.05263157969924812,5.932203454467108
52,Roseate Tern,0.05263157894736842,5.9322033697213445
53,Fairy Martin,0.05263157819548872,5.932203284975582
54,Little Tern,0.05263157744360902,5.93220320022982
55,Little Bronze-Cuckoo,0.05263157368421052,5.932202776501008
56,Sooty/Bridled Tern,0.04532706766917293,5.108898287766447
57,Arctic Warbler,0.04514661127819549,5.088558711564208
58,Pacific Swift,0.04511278872180451,5.0847465081873
59,Australian Spectacled Monarch,0.045112784210526315,5.084745999712725
60,Wedge-tailed Shearwater,0.04511278270676692,5.084745830221201
61,Siberian Sand-Plover,0.045112781954887216,5.084745745475438
62,Shining Bronze-Cuckoo,0.045112781954887216,5.084745745475438
63,Great Egret,0.04511277969924812,5.084745491238152
64,Arctic/Kamchatka Leaf Warbler,0.04511277669172932,5.084745152255101
65,Dollarbird,0.03759399248120301,4.237288968687157
66,Black-faced Cuckooshrike,0.03759398947368422,4.237288629704108
67,Tree Martin,0.03759398721804511,4.237288375466819
68,frigatebird sp.,0.03759398496240601,4.237288121229533
69,Rose-crowned Fruit-Dove,0.03007518796992481,3.3898304969836257
70,Brown/Black Noddy,0.03007518796992481,3.3898304969836257
71,Trindade Petrel,0.03007518721804511,3.3898304122378624
72,Asian Brown Flycatcher,0.022894736842105266,2.5805084658287853
73,Gray Wagtail,0.0228609022556391,2.5766949065196787
74,Far Eastern Curlew,0.022646616541353384,2.55254236422867
75,Bar-tailed Godwit,0.022646613533834587,2.5525420252456206
76,Ashy-bellied White-eye,0.022646611278195488,2.552541771008333
77,Black Bittern,0.022590225563909775,2.546186432046826
78,White-nest Swiftlet,0.022556393984962408,2.5423732117207694
79,Black-bellied Plover,0.022556393984962408,2.5423732117207694
80,dark swiftlet sp.,0.022556391729323312,2.542372957483482
81,Nazca Booby,0.022556390977443608,2.542372872737719
82,Gray-streaked Flycatcher,0.022556390977443608,2.542372872737719
83,Kamchatka Leaf Warbler,0.022556390225563907,2.5423727879919564
84,Gull-billed Tern,0.02255638796992481,2.542372533754669
85,Red-backed Buttonquail,0.022556385714285712,2.542372279517382
86,White-breasted Waterhen,0.01525188270676692,1.7190681297658712
87,Pacific Koel,0.015251879699248122,1.7190677907828213
88,Nankeen Kestrel,0.015127819548872181,1.7050847399827638
89,Marsh Sandpiper,0.015037596992481205,1.694915587474863
90,Common Tern,0.015037593984962405,1.6949152484918129
91,Tiger Shrike,0.015037593984962405,1.6949152484918129
92,Rosy Starling,0.015037593984962405,1.6949152484918129
93,cuckoo sp. (Cuculidae sp.),0.015037593984962405,1.6949152484918129
94,Australian Yellow White-eye,0.015037593984962405,1.6949152484918129
95,Wood Sandpiper,0.01503758872180451,1.6949146552714758
96,Middendorff's Grasshopper Warbler,0.007857142857142856,0.885593217336972
97,Collared Kingfisher,0.007823308270676692,0.8817796580278656
98,Red-billed Tropicbird,0.007733082706766917,0.8716101665369147
99,Oriental Reed Warbler,0.00764286015037594,0.8614410140290135
100,Wilson's Storm-Petrel,0.00758646917293233,0.8550850818471691
101,Eastern Red-rumped Swallow,0.0075188,0.8474579632289561
102,Rufous-throated Honeyeater,0.0075188,0.8474579632289561
103,Phylloscopus sp.,0.0075188,0.8474579632289561
104,Swamp Harrier,0.0075188,0.8474579632289561
105,Daurian/Chestnut-cheeked Starling,0.0075188,0.8474579632289561
106,swift sp.,0.0075188,0.8474579632289561
107,Terek Sandpiper,0.0075188,0.8474579632289561
108,Gull-billed/Australian Tern,0.007518796992481203,0.8474576242459064
109,Curlew Sandpiper,0.007518796992481203,0.8474576242459064
110,Australian Tern,0.007518796992481203,0.8474576242459064
111,Eastern Crowned Warbler,0.007518796992481203,0.8474576242459064
112,Caspian Tern,0.007518796992481203,0.8474576242459064
113,Siberian Thrush,0.007518796992481203,0.8474576242459064
114,Little Pied Cormorant,0.007518796992481203,0.8474576242459064
115,Medium/Plumed Egret,0.007518796992481203,0.8474576242459064
116,Siberian Blue Robin,0.007518796992481203,0.8474576242459064
