Rank,Species,wtd_rf,rfpc
1,Golden-tailed Sapphire,0.5897807163011997,100.0
2,Wire-crested Thorntail,0.507033519735209,85.96983687684157
3,Many-spotted Hummingbird,0.5051717050889533,85.65415774478512
4,Fork-tailed Woodnymph,0.4987587915597848,84.5668191201202
5,Brown Violetear,0.49234588856019856,83.47948228079377
6,Peruvian Racket-tail,0.48034753458833274,81.44510685273411
7,Sparkling Violetear,0.46380988775341325,78.64107369637135
8,Green Hermit,0.45614398491932145,77.3412850423495
9,Violet-headed Hummingbird,0.4402151415184113,74.64047727420007
10,Blue-necked Tanager,0.41580471818369885,70.50157909390654
11,Tropical Kingbird,0.4129085653082334,70.01052321577804
12,Gould's Jewelfront,0.40422011789408374,68.53735748247989
13,Silver-beaked Tanager,0.40132395370293744,68.04629968572628
14,Napo Sabrewing,0.3982209406288787,67.5201697210982
15,Black-throated Brilliant,0.3940835756930079,66.81866069892837
16,Russet-backed Oropendola,0.39180802999586256,66.43283158748905
17,Yellow-throated Toucan,0.3903599573851883,66.18730429731995
18,Bananaquit,0.37629292643773266,63.802175289427524
19,Red-headed Barbet,0.35912287898220935,60.8909157346552
20,Blue-gray Tanager,0.35043443098882915,59.417749903145875
21,Swainson's Thrush,0.3496069530409599,59.27744725760352
22,Chestnut-fronted Macaw,0.34857261491518415,59.10207052906913
23,Gilded Barbet,0.3351261924286306,56.8221685053335
24,Black-billed Thrush,0.33491932641704597,56.78709343321483
25,Ornate Flycatcher,0.33305751332230044,56.47141456422402
26,Golden-faced Tyrannulet,0.3268514723831197,55.41915212707589
27,Canada Warbler,0.32230037658254035,54.647493157091
28,Crested Oropendola,0.3146462633429872,53.34970348238684
29,Plain Antvireo,0.31423252447248656,53.27955217715336
30,Plumbeous Pigeon,0.3119569689904841,52.893721406647074
31,Lined Antshrike,0.30947455709557303,52.47281719152125
32,Western Fire-eye,0.30119983386429444,51.06980027310225
33,Black Vulture,0.29706247178320233,50.368291734973106
34,Palm Tanager,0.2933388467521722,49.736934193413795
35,Montane Foliage-gleaner,0.2877534218452628,48.789900024182515
36,Golden Tanager,0.28609846992139015,48.5092954065457
37,Spotted Tanager,0.28382292923045094,48.12346714393138
38,Tropical Parula,0.2836160503723624,48.08838989362961
39,Yellow-tufted Woodpecker,0.2821679812784443,47.84286319974249
40,Swallow-tailed Kite,0.277616885788167,47.07120428237072
41,Common Squirrel-Cuckoo,0.27699627736863885,46.96597730522907
42,Plain-backed Antpitta,0.27658253870500615,46.89582603507099
43,Paradise Tanager,0.2757550649979313,46.75552410857458
44,Roadside Hawk,0.2697559001034339,45.73833844470259
45,Blue-rumped Manakin,0.25899875964004965,43.91441640621216
46,Black-faced Antbird,0.25651634213901525,43.49351124054265
47,Magpie Tanager,0.2550682639635913,43.247983006844954
48,Yellow-browed Sparrow,0.25362019106330164,43.00245566757025
49,Ruddy Pigeon,0.2534133239760033,42.96738041305944
50,Maroon-tailed Parakeet,0.251758371700455,42.68677573579442
51,Bay-headed Tanager,0.2511377709971038,42.581550066965626
52,Ecuadorian Piedtail,0.2501034435043442,42.40617514130743
53,Blackburnian Warbler,0.2494828328092677,42.30094777833621
54,Black-billed Treehunter,0.24927595422010762,42.26587057363248
55,Black-throated Mango,0.24700041675630952,41.8800428581946
56,Military Macaw,0.24389740066197757,41.35391238146548
57,Violet-fronted Brilliant,0.23893255059991725,40.512099496636466
58,Olive-backed Woodcreeper,0.2354158098055441,39.91582011733964
59,Scarlet Tanager,0.23189904737277614,39.31953706915467
60,Slaty-capped Flycatcher,0.23045097534133227,39.074009877196715
61,White-collared Swift,0.22879602906495655,38.79340621711866
62,Summer Tanager,0.2269342182457592,38.47772773395739
63,Olivaceous Greenlet,0.22548614778651221,38.23220080857255
64,Collared Trogon,0.22424493208522972,38.02174704720396
65,Western Wood-Pewee,0.2180388947248655,36.96948521686042
66,White-crowned Manakin,0.21286719004964835,36.09259919256797
67,Bluish-gray Saltator,0.2087298407323128,35.391092818591744
68,Short-tailed Antthrush,0.2087298284443525,35.39109073511224
69,Blackish Antbird,0.20562681214315265,34.864960223307726
70,Slate-throated Redstart,0.20252379652461727,34.33882982725207
71,Bronze-green Euphonia,0.19631775378568478,33.28656708494785
72,Orange-bellied Euphonia,0.1942490687629292,32.935812140681556
73,Chestnut-bellied Seedeater,0.1928009934009102,32.69028438400946
74,White-lined Tanager,0.18638808434009102,31.602946516973446
75,White-breasted Wood-Wren,0.18556061714935873,31.46264569535253
76,Southern House Wren,0.18390567178320225,31.182042189606285
77,Channel-billed Toucan,0.18204386150186186,30.8663637976411
78,Gorgeted Woodstar,0.17418287271410837,29.533497433841767
79,Black-streaked Puffbird,0.17418286735622676,29.533496525388593
80,Scale-crested Pygmy-Tyrant,0.17397601119155975,29.498423122859545
81,Rufous-vented Whitetip,0.1717181418080265,29.11559111070197
82,Ochre-breasted Antpitta,0.16921803715349606,28.69168700779915
83,Smooth-billed Ani,0.16859743721555642,28.586461468749363
84,Golden-collared Toucanet,0.16735622163839467,28.376007728426007
85,White-crowned Tapaculo,0.16611500974348367,28.165554612444993
86,Dark-breasted Spinetail,0.16528755093090616,28.02525521137829
87,Turkey Vulture,0.16508068609846913,27.990180339189457
88,Buff-fronted Foliage-gleaner,0.16487380877120394,27.955103348445743
89,Common Tody-Flycatcher,0.16073645508895334,27.253596234378342
90,Speckled Nightingale-Thrush,0.15887463723624326,26.93791655865302
91,Olivaceous Woodcreeper,0.1576334214935871,26.727462790269342
92,Yellow-breasted Antwren,0.1547372809888291,26.236409009650487
93,Social Flycatcher,0.15246172254861398,25.850577737565793
94,Coppery-chested Jacamar,0.151841129540753,25.745353373542322
95,Cerulean Warbler,0.1503930519238726,25.499825234548222
96,Streaked Xenops,0.15039304894497313,25.49982472946229
97,Ecuadorian Tyrannulet,0.14873810641290855,25.2192217042492
98,Speckled Chachalaca,0.14335953833264378,24.307261049788274
99,Blue-and-white Swallow,0.14315266892842368,24.27218540243285
100,Rufous-naped Greenlet,0.14149772662391394,23.99158241580272
101,Band-bellied Owl,0.14108398053371946,23.921429886437352
102,Green-backed Trogon,0.13922217649979313,23.6057525537496
103,Golden-collared Honeycreeper,0.13508481423251967,22.90424398405257
104,Lafresnaye's Piculet,0.13342987914770377,22.62364222155433
105,Wattled Guan,0.13198178980140673,22.37811209378435
106,Chestnut-crowned Gnateater,0.1309474629085643,22.202737269844835
107,White-necked Thrush,0.13074058814646256,22.167660714036238
108,Marble-faced Bristle-Tyrant,0.13032685573024408,22.097510503155625
109,Andean Cock-of-the-rock,0.1280513101572197,21.711681412761585
110,Deep-blue Flowerpiercer,0.12784443698800163,21.67660512703365
111,Wing-banded Wren,0.12598262143152666,21.36092584064543
112,Dusky-capped Flycatcher,0.12329333541580474,20.904945178444784
113,Wedge-billed Woodcreeper,0.12122465554406288,20.554191107556274
114,Violaceous Jay,0.12060406315680594,20.448966848759042
115,Yellow-throated Chlorospingus,0.11998345390980554,20.34373973131571
116,Olive-chested Flycatcher,0.11791477579644187,19.992985958568212
117,Red-billed Parrot,0.11773086381878362,19.961802847188842
118,Blue-fronted Lancebill,0.11750104298717422,19.922835681044326
119,Many-banded Aracari,0.11584608924286305,19.64223075474389
120,Orange-eared Tanager,0.1156392284029789,19.607156559510535
121,Gray-rumped Swift,0.1150186191146049,19.50192943505212
122,Olive-striped Flycatcher,0.11481175961936285,19.466855467808948
123,Green-backed Hillstar,0.11357054410426148,19.25640173800821
124,White-necked Jacobin,0.11170873628465036,18.940723763440403
125,Crimson-crested Woodpecker,0.1083988450558544,18.379516667766964
126,Green-and-gold Tanager,0.10839883649151841,18.37951521564489
127,Brown-capped Vireo,0.10715763514687629,18.1690638885099
128,Gray-chinned Hermit,0.10695076894911044,18.133988784823362
129,Southern Rough-winged Swallow,0.10551448214729002,17.890459832091903
130,Chestnut-collared Swift,0.10550269313198181,17.88846095098535
131,Golden-olive Woodpecker,0.1005378639015308,17.04665159825035
132,Rufous-collared Sparrow,0.10053785200661974,17.046649581414137
133,Lineated Woodpecker,0.09764171266032272,16.555595997217605
134,Slaty-capped Shrike-Vireo,0.09702110438560196,16.4503690446287
135,Dusky Spinetail,0.09598676272238314,16.27499171630476
136,Purple Honeycreeper,0.0928837443525031,15.748860853746121
137,White-eyed Parakeet,0.09207643506412908,15.611977896053464
138,Little Tinamou,0.09164252848572611,15.538407064317186
139,Scaled Pigeon,0.09164252122465869,15.538405833170216
140,Yellow-rumped Cacique,0.09040133580885397,15.327957206841978
141,Green Jay,0.08916011894911048,15.117503249051062
142,Rusty-winged Antwren,0.08791891199834505,14.907050971372392
143,Smoky-brown Woodpecker,0.0872983091435664,14.8018249377593
144,Musician Wren,0.08688457687215558,14.731674751431484
145,Masked Tityra,0.08481589002896152,14.380919498501582
146,Blue Dacnis,0.0844021555026893,14.310768929851772
147,Black-faced Dacnis,0.0831761466280513,14.102893555029938
148,Plain-brown Woodcreeper,0.08233346758378154,13.960013494529724
149,White-chested Puffbird,0.0819197372983037,13.889863644925866
150,Fiery-throated Fruiteater,0.08109227122465869,13.749563012712176
151,Blue-headed Parrot,0.08069869958626393,13.68283115330805
152,Thrush-like Wren,0.07863002726520478,13.332078362672103
153,Gray-tailed Piha,0.07840298520893668,13.293582350511517
154,White-throated Toucan,0.07800445169631776,13.226009182789397
155,Sickle-winged Guan,0.07368597201075716,12.493791331950892
156,Olive-sided Flycatcher,0.073039615763343,12.38419869361104
157,Golden-eared Tanager,0.07281754689697972,12.346545908393514
158,Eastern Wood-Pewee,0.07136945997103848,12.101016191005856
159,White-throated Quail-Dove,0.06766291553578818,11.4725547420633
160,American Redstart,0.06764584395945389,11.469660178734516
161,White-thighed Swallow,0.06476304294580058,10.980868169437782
162,Blue-naped Chlorophonia,0.06392221930078609,10.838302700310933
163,Buff-throated Saltator,0.06081919844848989,10.312171416847352
164,Buckley's Forest-Falcon,0.059991725941249505,10.171869693788338
165,Swallow Tanager,0.057741306516342565,9.790300855963254
166,Slate-colored Grosbeak,0.05771617616880431,9.78603989136342
167,Peruvian Warbling-Antbird,0.05710861539098053,9.683025201152098
168,Short-tailed Swift,0.057095571307405876,9.680813517518823
169,Scaly-naped Amazon,0.05647497258998759,9.575588185413975
170,Foothill Screech-Owl,0.0562681010136533,9.540512169766723
