









Frequency of observations in the selected location(s).:
Number of taxa: 	262

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	9.0	25.0	26.0	19.0	12.0	1.0	23.0	8.0	3.0	6.0	11.0	9.0	1.0	4.0	21.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	11.0	5.0	0.0	2.0	2.0	7.0	3.0	11.0	9.0	1.0	1.0	1.0	1.0	10.0	10.0	27.0	5.0	1.0	6.0	0.0	4.0	1.0	

Little Tinamou	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0434783	0.125	0.3333333	0.0	0.1818182	0.3333333	0.0	0.25	0.0952381	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0	0.0	0.0	0.0	0.3333333	0.0	0.2222222	0.0015	0.0	0.0	0.0	0.1	0.0	0.0	0.2	1.0	0.1666667	0.0	0.0	0.0	
Bearded Guan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Speckled Chachalaca	0.1111111	0.12	0.1153846	0.0526316	0.1666667	1.0	0.0015	0.125	0.3333333	0.0	0.2727273	0.3333333	0.0	0.0	0.0952381	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0015	0.0	0.5	0.5	0.1428571	0.0	0.0	0.1111111	1.0	0.0	0.0	0.0	0.1	0.2	0.037037	0.2	0.0	0.6666667	0.0	0.0	0.0	
Rock Pigeon	0.0015	0.0	0.0384615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Plumbeous Pigeon	0.1111111	0.0	0.0769231	0.0526316	0.1666667	0.0	0.0	0.125	0.0	0.1666667	0.1818182	0.2222222	0.0	0.25	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.1428571	0.3333333	0.0909091	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.1666667	0.0	0.0	0.0	
Ruddy Pigeon	0.0	0.0	0.0384615	0.0	0.0833333	0.0	0.0434783	0.125	0.3333333	0.1666667	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.1428571	0.3333333	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2	1.0	0.0	0.0	0.25	0.0	
Smooth-billed Ani	0.2222222	0.16	0.0769231	0.1052632	0.4166667	0.0	0.0869565	0.375	0.6666667	0.1666667	0.0909091	0.2222222	0.0	0.0	0.1428571	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2727273	0.2	0.0015	0.0	0.0	0.1428571	0.0	0.0	0.3333333	0.0	0.0	0.0	1.0	0.5	0.3	0.2592593	0.2	1.0	0.1666667	0.0	0.25	0.0	
Little Cuckoo	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0434783	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Squirrel-Cuckoo	0.2222222	0.12	0.1538462	0.1578947	0.1666667	0.0	0.0869565	0.125	0.3333333	0.5	0.1818182	0.3333333	0.0	0.25	0.3333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1818182	0.2	0.0	0.5	0.5	0.2857143	0.6666667	0.0	0.5555556	0.0	0.0	0.0	0.0	0.1	0.1	0.0740741	0.2	1.0	0.1666667	0.0	0.25	0.0	
Common Pauraque	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0909091	0.1111111	0.0	0.0	0.047619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.1428571	0.3333333	0.0909091	0.1111111	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
Chestnut-collared Swift	0.1111111	0.08	0.1153846	0.0526316	0.0833333	0.0	0.0434783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.1111111	0.0	0.0	0.0	0.0	0.1	0.0	0.2592593	0.0	0.0	0.0	0.0	0.0	0.0	
